Ejari Contract Number,Registration Date,Start Date,End Date,Version,Area,Contract Amount,Annual Amount,Is Free Hold?,Property Size (sq.m),Property Type,Property Sub Type,Number of Rooms,Usage,Nearest Metro,Nearest Mall,Nearest Landmark,Parking,No of Units,Master Project,Project
"0120150503003145","2023-09-23 10:53:45","2023-09-18 00:00:00","2024-09-17 00:00:00","Renewed","Al Raffa","74100","74100","Non Free Hold","171.31","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120150706002235","2023-09-23 11:45:07","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Business Bay","120000","120000","Free Hold","132.39","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120150826002595","2023-09-23 10:26:45","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Mararr","38000","38000","Non Free Hold","52.76","Unit","Office","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120150910001202","2023-09-23 10:10:05","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Suq Al Kabeer","38000","38000","Non Free Hold","11.5","Unit","Shop","","Commercial","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120150930000168","2023-09-23 12:55:40","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Hebiah Fourth","586221.3","586221.3","Free Hold","117.9","Unit","Shop","","Industrial","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","2","","THE MATRIX"
"0120150930000168","2023-09-23 12:55:40","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Hebiah Fourth","586221.3","586221.3","Free Hold","113.54","Unit","Shop","","Industrial","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","2","","THE MATRIX"
"0120151101002154","2023-09-23 16:27:10","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Thanyah First","84000","84000","Non Free Hold","1","Villa","Villa","","Residential","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","",""
"0120160411002506","2023-09-23 12:28:28","2023-10-18 00:00:00","2024-10-17 00:00:00","Renewed","Muhaisanah Fourth","69000","69000","Non Free Hold","167.9","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120160818002576","2023-09-23 12:10:00","2023-08-22 00:00:00","2024-08-21 00:00:00","Renewed","Al Karama","89038","89038","Non Free Hold","51.1","Unit","Shop","","Commercial","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120160830002578","2023-09-23 12:09:55","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Saffa First","187425","187425","Non Free Hold","283.17","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"0120160830002833","2023-09-23 12:09:57","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Saffa First","187425","187425","Non Free Hold","283.17","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"0120160830003199","2023-09-23 12:09:58","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Saffa First","187425","187425","Non Free Hold","283.17","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"0120160830003297","2023-09-23 12:09:55","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Saffa First","187425","187425","Non Free Hold","278.15","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","",""
"0120160831001562","2023-09-23 08:43:02","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Mirdif","93000","93000","Non Free Hold","103428","Villa","Complex Villas","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"0120160920003711","2023-09-23 16:47:16","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Al Warsan First","48510","48510","Free Hold","116.48","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120161006002735","2023-09-23 11:15:29","2023-09-24 00:00:00","2024-09-23 00:00:00","Renewed","Al Warsan First","22138","22138","Free Hold","43","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120161009002282","2023-09-23 12:29:06","2023-10-13 00:00:00","2024-10-12 00:00:00","Renewed","Al Karama","42000","42000","Non Free Hold","69.68","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120161026000447","2023-09-23 10:48:08","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Al Murqabat","71500","71500","Non Free Hold","104.79","Unit","Flat","","Residential","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170326000724","2023-09-23 10:38:23","2023-05-05 00:00:00","2024-05-04 00:00:00","Renewed","Al Barsha First","45000","45000","Non Free Hold","51.92","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120170417007325","2023-09-23 16:23:03","2023-07-15 00:00:00","2024-07-14 00:00:00","Renewed","Al Mararr","26400","26400","Non Free Hold","15","Unit","Shop","","Commercial","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120170608001777","2023-09-23 12:07:57","2023-08-29 00:00:00","2024-08-28 00:00:00","Renewed","Al Baraha","120750","120750","Non Free Hold","311.22","Villa","Villa","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"0120170622002640","2023-09-23 12:27:33","2023-03-01 00:00:00","2024-02-28 00:00:00","Renewed","Al Saffa Second","100000","100288.18","Non Free Hold","520","Villa","Complex Villas","","Residential","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"0120170716002261","2023-09-23 11:34:16","2023-05-01 00:00:00","2025-04-30 00:00:00","Renewed","Saih Shuaib 4","132736","66368","Free Hold","300","Unit","Warehouse","","Industrial","","","Al Makhtoum International Airport","","1","",""
"0120170718001659","2023-09-23 10:57:03","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Jabal Ali First","46299","46299","Free Hold","86","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120170718002670","2023-09-23 10:52:53","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Jabal Ali First","46299","46299","Free Hold","93","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120170906003243","2023-09-23 12:15:36","2023-08-20 00:00:00","2024-08-19 00:00:00","Renewed","Al Karama","70000","70000","Non Free Hold","140","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120170916000027","2023-09-23 10:41:44","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Nahda Second","38000","38000","Non Free Hold","90","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120170919003296","2023-09-23 12:02:18","2023-10-25 00:00:00","2024-10-24 00:00:00","Renewed","Al Raffa","24000","24000","Non Free Hold","16.72","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120170928001990","2023-09-23 13:48:17","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Hor Al Anz East","63000","63000","Non Free Hold","148.64","Unit","Flat","","Residential","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171009003822","2023-09-23 12:11:16","2023-10-16 00:00:00","2024-10-15 00:00:00","Renewed","Muhaisanah Fourth","34500","34500","Non Free Hold","101.73","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171011001325","2023-09-23 12:17:32","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Khabeesi","141140","141140","Non Free Hold","557","Unit","Complex Warehouse","","Industrial","Abu Baker Al Siddique Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120171209000637","2023-09-23 17:03:26","2023-12-19 00:00:00","2024-12-18 00:00:00","Renewed","Jabal Ali First","55000","55000","Free Hold","90","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120180127000738","2023-09-23 22:18:55","2023-02-10 00:00:00","2024-02-09 00:00:00","Renewed","Al Muteena","22000","22000","Non Free Hold","46.45","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180127000738","2023-09-23 22:16:48","2022-02-10 00:00:00","2023-02-09 00:00:00","Renewed","Al Muteena","20000","20000","Non Free Hold","46.45","Unit","Flat","","Residential","Abu Baker Al Siddique Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180524001119","2023-09-23 12:11:14","2023-09-21 00:00:00","2024-09-20 00:00:00","Renewed","Al Karama","75000","75000","Non Free Hold","143.2","Unit","Flat","","Residential","Oud Metha Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180609001007","2023-09-23 12:44:13","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Qusais First","66500","66500","Non Free Hold","0","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180621002410","2023-09-23 10:08:25","2023-06-01 00:00:00","2024-05-31 00:00:00","Renewed","Al Qusais Industrial Second","70000","70000","Non Free Hold","75","Unit","Warehouse","","Commercial","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120180725001013","2023-09-23 12:11:14","2023-09-22 00:00:00","2024-09-21 00:00:00","Renewed","Al Suq Al Kabeer","148260","148260","Non Free Hold","35.3","Unit","Shop","","Commercial","Al Ras Metro Station","Dubai Mall","Dubai International Airport","","2","",""
"0120180725001013","2023-09-23 12:11:14","2023-09-22 00:00:00","2024-09-21 00:00:00","Renewed","Al Suq Al Kabeer","148260","148260","Non Free Hold","30.28","Unit","Shop","","Commercial","Al Ras Metro Station","Dubai Mall","Dubai International Airport","","2","",""
"0120180814000699","2023-09-23 12:11:11","2023-09-14 00:00:00","2024-09-13 00:00:00","Renewed","Al Karama","44100","44100","Non Free Hold","91.97","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120180918000767","2023-09-23 12:50:22","2023-08-16 00:00:00","2024-08-15 00:00:00","Renewed","Al Karama","35500","35500","Non Free Hold","0","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120180927001330","2023-09-23 12:19:17","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","62500","62500","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120180927002306","2023-09-23 12:14:00","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","35500","35500","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120180927002425","2023-09-23 11:09:01","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","46750","46750","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120180927002465","2023-09-23 11:14:31","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","46750","46750","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120180927002490","2023-09-23 11:45:36","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","46750","46750","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120180927003304","2023-09-23 12:06:10","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Port Saeed","46750","46750","Non Free Hold","1","Unit","Flat","","Residential","Deira City Centre","Dubai Mall","Dubai International Airport","","1","",""
"0120181016001162","2023-09-23 13:59:18","2023-09-30 00:00:00","2024-09-29 00:00:00","Renewed","Hor Al Anz East","68250","68250","Non Free Hold","49.9","Unit","Shop","","Commercial","Al Qiyadah Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120181018001076","2023-09-23 15:48:36","2023-10-23 00:00:00","2024-10-22 00:00:00","Renewed","Al Barsha First","90000","90000","Non Free Hold","133.4","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120181024003109","2023-09-23 09:55:52","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Qusais Industrial Second","125000","125000","Non Free Hold","160","Unit","Warehouse","","Commercial","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120181121000923","2023-09-23 17:31:40","2023-11-10 00:00:00","2024-11-09 00:00:00","Renewed","Al Warsan First","34100","34100","Free Hold","67.92","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120181212000425","2023-09-23 10:43:03","2023-09-07 00:00:00","2024-09-06 00:00:00","Renewed","Jabal Ali First","33033","33033","Free Hold","49.24","Unit","Flat","","Residential","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120181229001772","2023-09-23 14:26:17","2023-08-18 00:00:00","2024-08-17 00:00:00","Renewed","Al Mararr","100000","100000","Non Free Hold","23.22","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190122003270","2023-09-23 12:39:57","2023-03-15 00:00:00","2024-03-14 00:00:00","Renewed","Al Dhagaya","29000","29000","Non Free Hold","28.24","Unit","Studio ","","Residential","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","","1","",""
"0120190205001363","2023-09-23 12:11:20","2023-08-28 00:00:00","2024-08-27 00:00:00","Renewed","Al Karama","45983","45983","Non Free Hold","32.52","Unit","Shop","","Commercial","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190415001820","2023-09-23 12:11:10","2023-09-22 00:00:00","2024-09-21 00:00:00","Renewed","Muhaisanah Fourth","41800","41800","Non Free Hold","105.17","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190515004094","2023-09-23 13:25:33","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Satwa","76000","76000","Free Hold","155","Unit","Flat","","Residential","Emirates Towers Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190703000573","2023-09-23 13:47:01","2023-08-30 00:00:00","2024-08-29 00:00:00","Renewed","Jabal Ali First","30800","30800","Free Hold","45","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120190706000961","2023-09-23 14:43:17","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Naif","140000","140000","Non Free Hold","42.38","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190715002338","2023-09-23 12:55:46","2023-09-10 00:00:00","2024-09-09 00:00:00","Renewed","Jabal Ali First","47250","47250","Free Hold","93","Unit","Flat","","Residential","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","","1","",""
"0120190718002966","2023-09-23 13:07:56","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Suq Al Kabeer","27800","27800","Non Free Hold","73.11","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190723003379","2023-09-23 01:01:33","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Mirdif","90000","90000","Non Free Hold","472","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"0120190804001191","2023-09-23 17:28:26","2023-08-10 00:00:00","2024-08-09 00:00:00","Renewed","Al Warsan First","45000","45000","Free Hold","105.1","Unit","Building","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","","HDS SUNSTAR 1"
"0120190813000037","2023-09-23 10:44:34","2023-09-23 00:00:00","2024-09-22 00:00:00","Renewed","Oud Metha","90000","90000","Non Free Hold","142","Unit","Flat","","Residential","Healthcare City Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190819001559","2023-09-23 15:37:17","2023-09-02 00:00:00","2024-09-01 00:00:00","Renewed","Al Barsha First","105000","105000","Non Free Hold","177.86","Unit","Flat","","Residential","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","","1","",""
"0120190827001454","2023-09-23 13:59:55","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Qusais Industrial Fourth","30000","30000","Free Hold","50.98","Unit","Office","","Commercial","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190827003125","2023-09-23 12:12:40","2023-09-03 00:00:00","2024-09-02 00:00:00","Renewed","Muhaisanah Fourth","54000","54000","Non Free Hold","121.69","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190902000257","2023-09-23 09:37:45","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Hor Al Anz East","39900","39900","Non Free Hold","85.01","Unit","Flat","","Residential","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190905002180","2023-09-23 11:49:00","2023-08-20 00:00:00","2024-08-19 00:00:00","Renewed","Al Barsha South Fourth","185000","185000","Free Hold","138.01","Unit","Shop","","Commercial","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","","1","","DANA TOWER"
"0120190907001098","2023-09-23 11:10:03","2023-10-15 00:00:00","2024-10-14 00:00:00","Renewed","Al Warqa First","49500","49500","Non Free Hold","101.95","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190908001757","2023-09-23 12:12:38","2023-10-08 00:00:00","2024-10-07 00:00:00","Renewed","Al Wasl","187425","187425","Non Free Hold","304.4","Villa","Villa","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","2","1","",""
"0120190910000559","2023-09-23 12:12:36","2023-09-17 00:00:00","2024-09-16 00:00:00","Renewed","Al Karama","75000","75000","Non Free Hold","120.9","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190912000457","2023-09-23 10:03:10","2023-10-13 00:00:00","2024-10-12 00:00:00","Renewed","Business Bay","115500","115500","Non Free Hold","179.02","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190915003902","2023-09-23 09:57:20","2023-11-01 00:00:00","2024-10-31 00:00:00","Renewed","Al Rega","195000","195000","Non Free Hold","158.04","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190916001558","2023-09-23 10:20:13","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Mankhool","45000","45000","Non Free Hold","80.64","Unit","Flat","","Residential","Al Fahidi Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190919003106","2023-09-23 15:41:32","2023-09-01 00:00:00","2024-08-31 00:00:00","Renewed","Al Mararr","52000","52000","Non Free Hold","17.5","Unit","Shop","","Commercial","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190921000317","2023-09-23 11:30:16","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Hamriya","40000","40000","Non Free Hold","65","Unit","Flat","","Residential","Burjuman Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120190921000717","2023-09-23 09:41:08","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Karama","51000","51000","Non Free Hold","0","Unit","Flat","","Residential","ADCB Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120190922000391","2023-09-23 12:28:04","2023-09-22 00:00:00","2024-09-21 00:00:00","Renewed","Muhaisanah Fourth","31050","31050","Non Free Hold","75.53","Unit","Flat","","Residential","Etisalat Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190924000219","2023-09-23 11:44:38","2023-09-25 00:00:00","2024-09-24 00:00:00","Renewed","Marsa Dubai","120000","120000","Free Hold","156.82","Unit","Flat","","Residential","Marina Towers","Marina Mall","Burj Al Arab","","1","",""
"0120190924004072","2023-09-23 16:08:25","2023-09-18 00:00:00","2024-09-17 00:00:00","Renewed","Al Nahda First","30000","30000","Non Free Hold","66.43","Unit","Flat","","Residential","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190925003560","2023-09-23 17:42:13","2023-09-05 00:00:00","2024-09-04 00:00:00","Renewed","Al Qusais Industrial First","31500","31500","Non Free Hold","100","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120190930003145","2023-09-23 12:12:36","2023-10-07 00:00:00","2024-10-06 00:00:00","Renewed","Al Saffa First","91508","91508","Non Free Hold","131.64","Unit","Flat","","Residential","Business Bay Metro Station","Dubai Mall","Burj Khalifa","","1","",""
"0120191001005894","2023-09-23 11:35:30","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Al Qusais Industrial First","44000","44000","Non Free Hold","115","Unit","Flat","","Residential","Airport Free Zone","City Centre Mirdif","Dubai International Airport","","1","",""
"0120191002002521","2023-09-23 12:28:29","2022-10-10 00:00:00","2024-10-09 00:00:00","Renewed","Al Muteena","72000","36000","Non Free Hold","49.3","Unit","Flat","","Residential","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120191007002134","2023-09-23 12:12:34","2023-10-14 00:00:00","2024-10-13 00:00:00","Renewed","Muhaisanah Fourth","41800","41800","Non Free Hold","100.98","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120191029003361","2023-09-23 16:47:24","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Al Qusais Second","28000","28000","Non Free Hold","28","Unit","Flat","","Residential","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","","1","",""
"0120191117000912","2023-09-23 14:09:04","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Nadd Hessa","48000","48000","Free Hold","105.41","Unit","Flat","","Residential","","City Centre Mirdif","IMG World Adventures","","1","",""
"0120200222001876","2023-09-23 08:54:40","2023-09-20 00:00:00","2024-09-19 00:00:00","Renewed","Al Rashidiya","72000","72000","Non Free Hold","350","Villa","Villa","","Residential","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","0","1","",""
"0120200610001200","2023-09-23 12:32:35","2023-09-15 00:00:00","2024-09-14 00:00:00","Renewed","Al Warsan First","58000","58000","Free Hold","88.57","Unit","Shop","","Commercial","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120200705001780","2023-09-23 10:32:46","2023-08-01 00:00:00","2024-07-31 00:00:00","Renewed","Al Warsan First","33495","33495","Free Hold","68.33","Unit","Flat","","Residential","Rashidiya Metro Station","City Centre Mirdif","","","1","",""
"0120200709002448","2023-09-23 14:51:26","2023-07-15 00:00:00","2024-07-14 00:00:00","Renewed","Al Buteen","34000","34000","Non Free Hold","37.17","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200716000263","2023-09-23 08:57:49","2023-09-16 00:00:00","2024-09-15 00:00:00","Renewed","Al Rega","25000","25000","Non Free Hold","20","Unit","Flat","","Residential","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","","1","",""
"0120200716003036","2023-09-23 12:14:46","2023-10-01 00:00:00","2024-09-30 00:00:00","Renewed","Me'Aisem First","25500","25500","Free Hold","47.44","Unit","Studio ","","Residential","","","","","1","",""
"0120200720001271","2023-09-23 10:46:24","2023-08-30 00:00:00","2024-08-29 00:00:00","Renewed","Al Barsha South Fourth","64900","64900","Free Hold","118","Unit","Flat","","Residential","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","","1","",""
"0120200720002150","2023-09-23 12:56:24","2023-10-20 00:00:00","2024-10-19 00:00:00","Renewed","Me'Aisem First","37000","37000","Free Hold","69.8","Unit","Flat","","Residential","","","","","1","",""
