,Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
182817,2016-10-09 01:11:17,2016-10-09 02:28:21,Residential Building/House,10069.0,NEW YORK,MANHATTAN,40.77506478010212,-73.98863409148144
56689,2016-05-03 11:55:59,2016-05-03 12:11:32,Street/Sidewalk,10004.0,NEW YORK,MANHATTAN,40.70325656464925,-74.01157006325744
58029,2016-05-06 23:06:02,2016-05-07 01:29:04,Club/Bar/Restaurant,11238.0,BROOKLYN,BROOKLYN,40.67153627368153,-73.95765669143151
161158,2016-09-10 19:43:55,2016-09-10 21:29:23,Street/Sidewalk,10033.0,NEW YORK,MANHATTAN,40.845607172764396,-73.93295025914041
34447,2016-03-25 13:34:25,2016-03-25 23:54:01,Residential Building/House,10467.0,BRONX,BRONX,40.8587476839271,-73.86562454420242
215695,2016-12-11 06:39:45,2016-12-11 07:48:35,Residential Building/House,11207.0,BROOKLYN,BROOKLYN,40.67093875348536,-73.88612539451881
202007,2016-11-13 02:08:04,2016-11-13 04:39:25,Residential Building/House,11233.0,BROOKLYN,BROOKLYN,40.68529745773189,-73.91955778459545
201747,2016-11-13 00:04:51,2016-11-13 06:43:14,Residential Building/House,11211.0,BROOKLYN,BROOKLYN,40.71241213602188,-73.95976614214041
116420,2016-07-10 17:33:49,2016-07-10 21:31:51,Club/Bar/Restaurant,11377.0,WOODSIDE,QUEENS,40.75256614585519,-73.90524869358501
33422,2016-03-22 22:37:12,2016-03-23 01:25:20,Residential Building/House,11354.0,FLUSHING,QUEENS,40.76139885513636,-73.83289612422156
71374,2016-05-22 18:05:13,2016-05-22 22:43:11,Street/Sidewalk,10027.0,NEW YORK,MANHATTAN,40.81035514713089,-73.95158257519665
225348,2016-12-31 23:07:42,2016-12-31 23:29:50,Club/Bar/Restaurant,11249.0,BROOKLYN,BROOKLYN,40.71073942127863,-73.96460779060922
6259,2016-01-15 00:33:07,2016-01-15 06:34:36,Club/Bar/Restaurant,10128.0,NEW YORK,MANHATTAN,40.779333826513366,-73.95066994749678
172771,2016-09-24 20:34:03,2016-09-24 22:56:44,Residential Building/House,11223.0,BROOKLYN,BROOKLYN,40.602645701975284,-73.98159430116314
147281,2016-08-27 00:58:16,2016-08-27 02:09:19,Residential Building/House,11201.0,BROOKLYN,BROOKLYN,40.70318750544673,-73.98466463275692
180637,2016-10-06 23:28:41,2016-10-07 01:30:00,Club/Bar/Restaurant,10019.0,NEW YORK,MANHATTAN,40.762260503230756,-73.98800455742398
213877,2016-12-09 11:50:22,2016-12-09 13:55:18,Club/Bar/Restaurant,11367.0,FLUSHING,QUEENS,40.727791950351744,-73.8114841496959
173768,2016-09-25 00:26:59,2016-09-25 02:01:33,Store/Commercial,11211.0,BROOKLYN,BROOKLYN,40.71762697799856,-73.94031907362195
103963,2016-06-26 17:38:40,2016-06-26 20:59:59,Park/Playground,10026.0,NEW YORK,MANHATTAN,40.80817224919859,-73.9563451926413
158385,2016-09-05 21:11:19,2016-09-05 22:42:50,Residential Building/House,10021.0,NEW YORK,MANHATTAN,40.76831002517281,-73.95510415879491
7130,2016-01-16 22:33:26,2016-01-17 00:59:28,Club/Bar/Restaurant,10025.0,NEW YORK,MANHATTAN,40.80189077022533,-73.96842413691874
98810,2016-06-21 18:35:37,2016-06-21 23:14:40,Residential Building/House,11234.0,BROOKLYN,BROOKLYN,40.62477977955104,-73.91112908492475
18982,2016-02-18 23:41:22,2016-02-19 04:51:21,Residential Building/House,11365.0,FRESH MEADOWS,QUEENS,40.73330218073805,-73.81072165017737
179095,2016-10-02 22:48:22,2016-10-03 04:14:33,Residential Building/House,11219.0,BROOKLYN,BROOKLYN,40.624509454830786,-74.0007204745836
30106,2016-03-14 22:48:51,2016-03-14 23:14:34,Residential Building/House,10030.0,NEW YORK,MANHATTAN,40.819446619638654,-73.94178131840981
121733,2016-07-17 11:57:00,2016-07-17 12:26:56,Street/Sidewalk,10032.0,NEW YORK,MANHATTAN,40.8429351960123,-73.94044519271844
130007,2016-07-31 00:27:10,2016-07-31 00:32:22,Residential Building/House,11218.0,BROOKLYN,BROOKLYN,40.63871843968705,-73.9714991622119
220363,2016-12-22 16:54:09,2016-12-22 20:49:07,Street/Sidewalk,10018.0,NEW YORK,MANHATTAN,40.754706829751356,-73.9867534510488
215480,2016-12-11 01:47:42,2016-12-11 05:24:05,Club/Bar/Restaurant,11207.0,BROOKLYN,BROOKLYN,40.67892152487588,-73.8958280872322
39059,2016-04-02 23:03:30,2016-04-03 07:49:15,Residential Building/House,11225.0,BROOKLYN,BROOKLYN,40.66077698118948,-73.95131989681356
221886,2016-12-25 01:01:20,2016-12-25 02:48:33,Residential Building/House,10037.0,NEW YORK,MANHATTAN,40.80908068595664,-73.93819608404087
181900,2016-10-08 17:27:17,2016-10-08 22:47:29,Street/Sidewalk,10040.0,NEW YORK,MANHATTAN,40.8600925886813,-73.93103409461263
216043,2016-12-11 23:58:39,2016-12-12 02:27:43,Residential Building/House,11213.0,BROOKLYN,BROOKLYN,40.66805664978962,-73.93561239915763
141816,2016-08-18 23:39:00,2016-08-19 02:52:11,Club/Bar/Restaurant,10463.0,BRONX,BRONX,40.883552166422746,-73.8984982263291
102370,2016-06-25 22:56:31,2016-06-25 23:23:34,Residential Building/House,10468.0,BRONX,BRONX,40.860401400517176,-73.90584339745936
149525,2016-08-28 03:19:40,2016-08-28 04:25:44,Street/Sidewalk,10023.0,NEW YORK,MANHATTAN,40.772300567437476,-73.98623727925035
175706,2016-09-27 21:56:18,2016-09-28 02:00:34,Street/Sidewalk,10468.0,BRONX,BRONX,40.86199520135953,-73.90816935472553
169468,2016-09-20 00:57:02,2016-09-20 06:15:45,Club/Bar/Restaurant,11361.0,BAYSIDE,QUEENS,40.7641502368416,-73.77125319221011
159424,2016-09-08 00:41:35,2016-09-08 22:44:27,Street/Sidewalk,10454.0,BRONX,BRONX,40.81282562349213,-73.92196495555166
83179,2016-06-04 22:18:18,2016-06-05 02:01:46,Residential Building/House,11210.0,BROOKLYN,BROOKLYN,40.636326482088855,-73.95839963535299
8448,2016-01-19 23:29:29,2016-01-20 08:30:17,Residential Building/House,10457.0,BRONX,BRONX,40.85123190691196,-73.88524200401147
35367,2016-03-26 20:30:15,2016-03-26 22:47:37,Residential Building/House,10021.0,NEW YORK,MANHATTAN,40.772104403118036,-73.9581523526437
78051,2016-05-29 20:19:45,2016-05-29 22:29:55,Street/Sidewalk,11213.0,BROOKLYN,BROOKLYN,40.674958567146405,-73.92891827724601
849,2016-01-01 01:42:50,2016-01-01 07:24:42,Residential Building/House,10456.0,BRONX,BRONX,40.83484295688418,-73.91317937007253
54342,2016-04-30 12:53:26,2016-04-30 14:04:34,Residential Building/House,11385.0,RIDGEWOOD,QUEENS,40.69799998130218,-73.90154679293572
101889,2016-06-25 21:21:14,2016-07-01 18:48:28,Street/Sidewalk,10456.0,BRONX,BRONX,40.83659328785893,-73.91212906703372
211869,2016-12-03 23:45:37,2016-12-04 04:25:31,Residential Building/House,10457.0,BRONX,BRONX,40.84417324510356,-73.89166951222118
126658,2016-07-24 12:49:34,2016-07-24 15:07:42,Residential Building/House,10033.0,NEW YORK,MANHATTAN,40.84654330585722,-73.93327461136876
108897,2016-07-03 01:35:17,2016-07-03 07:58:14,Residential Building/House,10457.0,BRONX,BRONX,40.854947325894116,-73.89893951405466
169342,2016-09-19 21:31:24,2016-09-19 22:41:03,Residential Building/House,10467.0,BRONX,BRONX,40.87241005370677,-73.87988298692268
203217,2016-11-16 23:39:14,2016-11-17 07:36:32,Residential Building/House,10009.0,NEW YORK,MANHATTAN,40.728847682201256,-73.98073681719882
18531,2016-02-17 02:20:10,2016-02-17 06:33:12,Residential Building/House,10463.0,BRONX,BRONX,40.880874590369174,-73.8999198903212
180858,2016-10-07 18:11:08,2016-10-07 22:58:13,Club/Bar/Restaurant,10002.0,NEW YORK,MANHATTAN,40.71838330983826,-73.99284643308856
145528,2016-08-23 03:09:34,2016-08-23 08:22:41,Residential Building/House,11216.0,BROOKLYN,BROOKLYN,40.67479609884428,-73.95510221837691
11680,2016-01-30 20:07:32,2016-01-30 22:06:09,Residential Building/House,11221.0,BROOKLYN,BROOKLYN,40.69528008330343,-73.92342600949155
196563,2016-11-02 19:02:59,2016-11-03 08:16:53,Residential Building/House,10459.0,BRONX,BRONX,40.82108400396412,-73.89386407074211
14839,2016-02-07 00:48:59,2016-02-07 03:36:29,Residential Building/House,11433.0,JAMAICA,QUEENS,40.705661626530336,-73.78822537286247
41925,2016-04-09 20:12:42,2016-04-10 00:32:12,Residential Building/House,11377.0,WOODSIDE,QUEENS,40.757482198878996,-73.90891262949155
112299,2016-07-04 22:29:56,2016-07-05 09:53:35,Street/Sidewalk,10452.0,BRONX,BRONX,40.83523587964621,-73.9299540431916
221493,2016-12-24 21:58:13,2016-12-24 22:44:33,Residential Building/House,10039.0,NEW YORK,MANHATTAN,40.825948418701856,-73.94092289589497
174420,2016-09-25 04:12:18,2016-09-25 07:29:57,Residential Building/House,10458.0,BRONX,BRONX,40.86919378237901,-73.88037690691702
2175,2016-01-02 22:39:49,2016-01-03 04:32:44,Residential Building/House,10457.0,BRONX,BRONX,40.85495331728381,-73.89339792991069
60505,2016-05-08 18:13:51,2016-05-08 22:02:47,Residential Building/House,10027.0,NEW YORK,MANHATTAN,40.80617275133681,-73.94664050844545
86889,2016-06-10 19:42:15,2016-06-10 20:51:47,Street/Sidewalk,10034.0,NEW YORK,MANHATTAN,40.8668997583908,-73.92708613495817
52772,2016-04-27 05:58:39,2016-04-27 08:38:02,Residential Building/House,10029.0,NEW YORK,MANHATTAN,40.791359029364145,-73.94018436098989
52549,2016-04-26 18:52:43,2016-04-26 21:20:08,Residential Building/House,10458.0,BRONX,BRONX,40.8682891506012,-73.89267874407986
155437,2016-09-04 01:41:04,2016-09-04 05:11:49,Residential Building/House,11237.0,BROOKLYN,BROOKLYN,40.69419564157601,-73.9080759181787
199704,2016-11-08 08:16:35,2016-11-09 04:03:25,Residential Building/House,10454.0,BRONX,BRONX,40.80971192586585,-73.92430944025769
194771,2016-10-30 01:22:52,2016-10-31 02:00:15,Residential Building/House,10467.0,BRONX,BRONX,40.88021840251089,-73.86708550180221
203664,2016-11-18 06:45:41,2016-11-18 09:18:37,Store/Commercial,11103.0,ASTORIA,QUEENS,40.769109070431576,-73.9126332803674
203720,2016-11-18 15:08:27,2016-11-19 02:31:25,Residential Building/House,10459.0,BRONX,BRONX,40.82810310248896,-73.88894226656673
122771,2016-07-18 23:39:22,2016-07-19 04:03:17,Residential Building/House,10001.0,NEW YORK,MANHATTAN,40.749657253277924,-74.00095642217364
163549,2016-09-12 02:23:30,2016-09-12 05:53:19,Store/Commercial,10465.0,BRONX,BRONX,40.82797275630884,-73.83894758409845
76851,2016-05-29 00:15:05,2016-05-29 07:57:09,Residential Building/House,11208.0,BROOKLYN,BROOKLYN,40.68735367312362,-73.871584131491
155325,2016-09-04 01:19:44,2016-09-04 05:27:39,Residential Building/House,11208.0,BROOKLYN,BROOKLYN,40.685382417906986,-73.87870551060381
23153,2016-02-28 09:30:25,2016-02-28 09:54:29,Residential Building/House,10469.0,BRONX,BRONX,40.876507029214295,-73.85305187488389
122726,2016-07-18 22:42:36,2016-07-19 01:10:06,Residential Building/House,10029.0,NEW YORK,MANHATTAN,40.79747361432938,-73.93890031307356
100871,2016-06-25 00:17:57,2016-06-25 01:47:22,Residential Building/House,11429.0,QUEENS VILLAGE,QUEENS,40.70906031871242,-73.7489600858619
142066,2016-08-19 20:09:26,2016-08-19 23:55:50,Street/Sidewalk,11213.0,BROOKLYN,BROOKLYN,40.66500789660462,-73.92755193872594
15893,2016-02-09 18:41:00,2016-02-09 22:59:03,Residential Building/House,10458.0,BRONX,BRONX,40.85816684723896,-73.89583654024118
141514,2016-08-18 00:01:10,2016-08-18 01:56:05,Residential Building/House,10466.0,BRONX,BRONX,40.89275322900657,-73.8577324168085
173426,2016-09-24 23:29:10,2016-09-25 00:33:53,Residential Building/House,10467.0,BRONX,BRONX,40.87772284945456,-73.87386343815922
222967,2016-12-26 17:16:00,2016-12-26 18:59:42,Residential Building/House,11415.0,KEW GARDENS,QUEENS,40.707327934477135,-73.82604158411348
150158,2016-08-28 21:40:32,2016-08-29 15:46:23,Street/Sidewalk,10455.0,BRONX,BRONX,40.811680686961324,-73.90667095011895
166143,2016-09-17 05:32:37,2016-09-17 13:35:29,Street/Sidewalk,10452.0,BRONX,BRONX,40.82924789920053,-73.92289242169471
186970,2016-10-16 01:01:28,2016-10-16 02:03:19,Residential Building/House,11693.0,FAR ROCKAWAY,QUEENS,40.589581123935574,-73.8132389083559
497,2015-12-31 23:26:41,2015-12-31 23:53:31,House of Worship,10031.0,NEW YORK,MANHATTAN,40.826101709196,-73.94566339279595
6545,2016-01-15 23:19:37,2016-01-16 06:57:35,Residential Building/House,10468.0,BRONX,BRONX,40.87307043864482,-73.90196373932577
179470,2016-10-03 20:50:26,2016-10-03 21:46:03,Residential Building/House,10032.0,NEW YORK,MANHATTAN,40.84345632991786,-73.93975079399706
107769,2016-07-02 22:15:51,2016-07-03 16:32:46,Street/Sidewalk,11216.0,BROOKLYN,BROOKLYN,40.68293357666319,-73.95315335914852
7707,2016-01-17 05:27:32,2016-01-17 07:13:44,Residential Building/House,10467.0,BRONX,BRONX,40.879228024835,-73.87235263653268
108573,2016-07-03 00:33:08,2016-07-03 07:57:55,Residential Building/House,10453.0,BRONX,BRONX,40.855398910132905,-73.9106799592076
65650,2016-05-15 04:05:56,2016-05-15 07:20:25,Residential Building/House,11237.0,BROOKLYN,BROOKLYN,40.70887648433682,-73.92168266946327
187807,2016-10-16 22:56:11,2016-10-18 13:13:07,Residential Building/House,10033.0,NEW YORK,MANHATTAN,40.851539158012244,-73.92948142601392
45579,2016-04-16 22:58:45,2016-04-16 23:19:57,Street/Sidewalk,10031.0,NEW YORK,MANHATTAN,40.82511339809938,-73.94521254563203
