VEHICLE_ID,POLICYHOLDER_ID,BODY_STYLE_CODE,YEAR
508,2743,20,2016
509,4708,20,1976
510,7606,20,1979
511,1986,19,2018
512,1087,19,2012
513,7486,3,2000
514,9958,30,1972
515,9955,19,2005
516,6039,20,1993
517,6157,19,1990
518,2092,19,1995
519,8018,20,2011
520,2294,19,2014
521,1987,19,1973
522,563,19,1995
523,9721,19,1988
524,5527,19,2014
525,7768,20,1995
526,1,3,1981
527,6280,3,2017
528,4833,3,2009
529,5669,20,2008
530,7820,19,1992
531,3829,30,1978
532,1167,3,1983
533,6375,19,1998
534,1275,20,1981
535,751,30,2013
536,4020,30,1988
537,6875,20,2014
538,1139,20,1976
539,8952,20,2002
540,7704,20,2000
541,8318,3,1970
542,4811,20,2007
543,3759,3,1970
544,2701,30,2006
545,3175,19,2018
546,4092,20,1992
547,4442,3,2009
548,331,20,1989
549,922,3,1993
550,4077,20,2004
551,2373,20,2005
552,4736,19,1998
553,8917,19,2006
554,6650,19,2007
555,7004,20,2004
556,2665,20,2022
557,2835,19,1978
558,8846,3,1975
559,5770,19,2010
560,5404,30,2008
561,2526,20,2014
562,5098,30,2014
563,6547,19,1994
564,1319,30,1977
565,4508,20,2015
566,3323,30,1977
567,6723,30,1976
568,7723,20,2002
569,5248,20,1986
570,5461,19,2003
571,2760,30,1980
572,3481,30,2011
573,9685,19,1970
574,4803,20,1996
575,5779,30,2019
576,4776,20,1997
577,7759,3,1979
578,3048,20,1991
579,623,20,2014
580,8844,3,2023
581,9575,19,1980
582,1209,20,1977
583,5710,20,2015
584,3464,20,1980
585,3326,3,1992
586,9195,30,1974
587,2282,30,2002
588,9267,19,1981
589,2048,20,2017
590,4210,30,1988
591,9596,3,1986
592,8783,30,2001
593,9741,30,1984
594,4774,30,2020
595,716,30,1988
596,1851,30,2022
597,4351,20,2008
598,6645,3,2016
599,7969,30,2013
600,6358,3,2015
601,625,30,2008
602,3839,3,1973
603,5255,19,2015
604,1100,20,1977
605,929,30,1984
606,6939,30,1987
607,4366,20,1972
608,3203,20,1978
609,9178,30,1992
610,984,19,1999
611,2818,30,2007
612,1754,20,2010
613,1592,20,2002
614,680,20,2021
615,2065,3,1996
616,3138,30,2001
617,8378,19,2015
618,5383,3,2018
619,5555,19,2013
620,4737,19,1987
621,8541,20,1995
622,9881,20,2006
623,6831,30,1981
624,5038,20,1981
625,8460,30,1989
626,9247,3,1977
627,5615,19,2001
628,2949,19,2010
629,5722,20,2005
630,5487,19,2012
631,3724,3,2006
632,6303,3,1993
633,8526,20,1998
634,6066,9,2023
635,539,20,1991
636,7711,9,1992
637,7332,20,1996
638,6244,20,1997
639,7721,20,2011
640,9056,3,1988
641,2264,3,2010
642,9703,30,1999
643,647,19,1994
644,5970,3,1980
645,7235,20,1972
646,7034,19,1979
647,8705,3,1981
648,9305,20,1973
649,6552,3,1993
650,4032,20,2007
651,8705,20,1973
652,6652,3,1992
653,608,3,1996
654,3937,20,2020
655,1097,19,2021
656,7312,30,1974
657,7557,19,2004
658,8836,20,2010
659,4114,19,1995
660,9101,19,1994
661,570,19,2011
662,8116,20,1988
663,6537,30,2014
664,3017,20,1991
665,3334,3,1983
666,9435,3,1970
667,1004,19,1983
668,3350,3,2012
669,3563,20,2018
670,3473,30,1989
671,2783,30,1993
672,2048,9,2000
673,1447,20,1982
674,1576,3,2021
675,2954,20,2012
676,9633,20,2015
677,83,19,2021
678,2598,3,2017
679,1646,3,1980
680,936,20,1974
681,5326,20,1989
682,5136,19,1988
683,7806,30,1991
684,7007,20,1973
685,3314,3,2022
686,1124,19,2000
687,5271,20,1995
688,2164,19,1976
689,6488,9,1988
690,932,19,2010
691,8955,30,2021
692,4355,19,1970
693,3106,20,1986
694,937,9,2002
695,1710,20,1998
696,9415,20,2002
697,2023,3,1991
698,5290,20,2005
699,9294,20,2003
700,4936,3,1984
701,2437,3,2001
702,3275,20,2000
703,5357,3,2008
704,7408,3,1975
705,7083,3,1989
706,9043,20,1971
707,6136,30,2007
708,6307,30,1989
709,8942,20,1974
710,1575,20,1990
711,290,3,1975
712,7746,20,2020
713,5305,19,2009
714,8940,20,1972
715,7439,20,1978
716,4052,20,1995
717,3003,30,2022
718,3168,3,2008
719,228,20,1986
720,7812,30,1977
721,8070,3,1972
722,5296,19,1983
723,8414,30,2000
724,5485,20,1985
725,9048,9,2020
726,7307,30,2002
727,1381,19,2004
728,1354,3,1987
729,6999,20,1979
730,5529,19,1982
731,7171,30,2015
732,4940,20,1987
733,1581,20,1994
734,5486,19,2019
735,9661,9,2022
736,6705,19,1994
737,6890,30,2013
738,8042,20,2008
739,7272,19,1976
740,6716,3,1978
741,117,3,2011
742,6473,30,1998
743,4406,3,1982
744,8146,20,1979
745,5962,9,1972
746,7918,30,1979
747,3766,20,2016
748,8720,9,1996
749,7585,3,2014
750,847,30,1979
751,6682,20,1979
752,3595,3,1990
753,3142,19,2001
754,6408,20,2008
755,3804,20,1971
756,7048,20,1975
757,1928,20,2009
758,3927,19,1999
759,9250,20,2000
760,4803,20,2017
761,2669,20,2018
762,9458,9,1990
763,355,30,1976
764,4179,20,1972
765,5598,20,2005
766,967,20,2022
767,8964,30,1999
768,4970,20,2008
769,9084,19,2014
770,267,3,2020
771,4564,20,1984
772,4797,20,1992
773,2869,20,2015
774,2782,3,2021
775,3156,20,1977
776,8366,30,1997
777,117,19,1997
778,7565,20,1984
779,3741,20,1970
780,9871,30,2011
781,7980,20,1988
782,4576,9,2016
783,7648,19,1983
784,6804,19,2020
785,1643,3,1992
786,2399,20,1978
787,2088,19,2011
788,7756,3,1981
789,2798,3,2016
790,5532,3,1974
791,4376,30,1974
792,9670,3,1971
793,1913,19,2006
794,3824,20,1990
795,5588,19,2009
796,4202,20,2023
797,614,20,1982
798,3541,19,1978
799,3494,20,1980
800,2302,3,2002
801,4386,30,1983
802,6424,20,1987
803,5900,20,2003
804,7734,30,2019
805,6607,3,1980
806,2079,30,2016
807,5440,20,2020
808,1135,20,1972
809,9405,20,2008
810,4704,20,1990
811,2181,9,1977
812,4560,19,2023
813,4550,30,1998
814,9179,30,1987
815,7431,20,1972
816,7366,19,1991
817,2832,19,2018
818,5113,19,2006
819,2228,30,1974
820,8974,30,2022
821,5139,30,1996
822,3764,9,1995
823,7420,19,1981
824,9135,20,1982
825,4547,30,2023
826,5767,3,2018
827,5443,19,2019
828,3060,20,2013
829,9553,30,1977
830,3416,19,1974
831,9061,3,2011
832,4,3,1993
833,7235,30,1989
834,2793,19,1983
835,3831,20,1977
836,5392,19,2021
837,8244,3,1976
838,4328,19,1972
839,9025,30,2020
840,6797,20,2011
841,3072,19,1981
842,7150,3,1995
843,9884,20,2013
844,3748,20,2021
845,562,19,1989
846,3432,19,1981
847,2160,20,1984
848,6849,20,1979
849,6627,30,1995
850,71,20,1982
851,7671,3,2010
852,8471,19,2023
853,8586,30,1988
854,5766,19,1987
855,8667,9,1998
856,9776,30,1978
857,4771,20,2003
858,4964,9,1983
859,2076,20,2008
860,3048,3,1984
861,9449,3,1983
862,3573,3,2007
863,2678,3,2011
864,6115,3,1996
865,4382,3,1980
866,3309,19,1993
867,535,20,2012
868,1451,3,2011
869,3859,30,1982
870,3572,20,1970
871,3375,3,1973
872,3591,30,1973
873,2277,3,1988
874,9966,30,1977
875,7282,19,2007
876,2972,20,2012
877,9920,20,1999
878,3900,30,1985
879,5997,20,2004
880,3316,9,1988
881,8332,30,1986
882,2184,9,1995
883,1557,20,1991
884,7848,20,1999
885,6131,19,1982
886,6974,30,2023
887,4404,30,2009
888,2415,20,2012
889,5434,30,2021
890,6716,3,1977
891,5477,19,2015
892,5081,19,2007
893,3058,19,2012
894,7490,3,1983
895,3142,20,1977
896,7758,30,1994
897,9826,3,1981
898,6759,20,2000
899,2423,20,1971
900,1913,30,1997
901,6925,20,1996
902,8411,30,1991
903,3944,30,1972
904,9486,9,1979
905,3681,20,2017
906,3404,19,1973
907,9802,30,1982
908,9041,20,1974
909,5314,20,2015
910,7275,3,2002
911,7708,19,2007
912,5869,19,1973
913,5569,19,1981
914,3746,30,1998
915,5433,30,1982
916,5222,20,1997
917,6316,3,1987
918,5240,19,2000
919,6164,19,1981
920,7029,20,2006
921,1298,9,1992
922,581,19,2018
923,9060,30,1973
924,8092,19,1999
925,6745,30,1990
926,6893,30,1992
927,5798,19,2022
928,6623,19,2001
929,5697,3,1996
930,3838,30,2006
931,9882,20,1996
932,5212,30,1980
933,5118,19,1989
934,1754,20,2011
935,3101,20,2003
936,6059,20,1980
937,8766,9,1995
938,2430,3,1994
939,693,9,1999
940,8806,3,1975
941,1922,3,2004
942,1953,3,2000
943,5511,20,1996
944,128,20,1985
945,677,19,1988
946,9614,19,2014
947,7795,19,2003
948,1831,20,2016
949,3612,19,1990
950,6774,20,1996
951,8615,19,1995
952,2938,30,1994
953,5492,19,1991
954,9502,20,1988
955,362,30,1997
956,9016,20,1977
957,1349,19,1988
958,2963,3,1980
959,85,20,1975
960,3082,19,2006
961,9621,20,1990
962,9268,9,1971
963,9064,19,2005
964,2406,20,1971
965,2938,19,2012
966,1904,3,2013
967,9165,9,1970
968,3369,20,2022
969,7963,3,1982
970,8370,30,1996
971,1013,9,1981
972,219,20,1971
973,3230,19,2017
974,2435,20,1992
975,9788,30,1979
976,1933,20,2007
977,6032,9,2014
978,2126,20,1982
979,3715,30,2007
980,6317,30,1988
981,7359,20,1996
982,5746,20,1971
983,9794,20,1984
984,6695,19,1999
985,3782,30,2008
986,8785,20,2020
987,5207,20,1981
988,2856,19,1972
989,7163,30,2014
990,1251,20,1979
991,7767,30,1981
992,5577,30,1983
993,7945,19,2010
994,3092,30,2021
995,4585,19,2004
996,9995,20,1988
997,3475,19,1999
998,7601,3,1989
999,7349,3,1998
1000,1718,3,1975
1001,2991,20,2020
1002,4555,19,1999
1003,4,20,1977
1004,5202,19,2021
1005,7684,30,1988
1006,2302,20,1987
1007,4657,20,1988
1008,43,30,1980
1009,7727,30,2013
1010,9449,30,2004
1011,5713,19,1999
1012,2692,20,2008
1013,9625,19,2004
1014,463,30,1978
1015,3007,3,2020
1016,7964,30,2000
1017,4366,19,2014
1018,8968,9,2002
1019,9467,3,1996
1020,8961,3,1971
1021,4432,20,2006
1022,3026,3,1996
1023,1428,20,2023
1024,5651,20,2001
1025,8885,9,1978
1026,9975,19,2018
1027,7564,20,2017
1028,2320,20,1993
1029,8720,9,2022
1030,1997,19,2016
1031,9071,3,1988
1032,291,30,1980
1033,4622,3,2017
1034,655,20,2005
1035,7269,3,1978
1036,1130,20,1974
1037,9852,19,1983
1038,3758,20,1989
1039,145,20,1986
1040,584,30,1999
1041,6424,19,2008
1042,8086,20,1977
1043,727,30,2012
1044,7240,20,1971
1045,6479,20,1979
1046,4788,19,1975
1047,3853,20,1991
1048,9711,19,2000
1049,5440,30,2001
1050,1014,3,2000
1051,6686,20,1983
1052,4024,20,2020
1053,5675,19,2008
1054,4879,20,2005
1055,3026,20,2012
1056,1588,19,2018
1057,4748,20,1998
1058,8984,20,2023
1059,1,19,1987
1060,4810,3,2014
1061,7469,30,2007
1062,8563,20,2022
1063,9488,30,2023
1064,5916,20,1972
1065,2753,3,2019
1066,8345,3,1980
1067,146,20,1988
1068,7049,30,2020
1069,1740,19,2022
1070,5555,19,1986
1071,7024,30,2001
1072,9037,19,1999
1073,762,3,1979
1074,63,20,2020
1075,7681,20,1982
1076,9821,19,1988
1077,3810,20,1976
1078,5692,30,1989
1079,6449,30,1995
1080,6278,19,1989
1081,197,19,1979
1082,8505,19,2011
1083,8255,19,2017
1084,559,30,2015
1085,418,20,1990
1086,2024,20,2004
1087,3551,3,1973
1088,5110,30,2006
1089,438,9,1999
1090,5212,3,1990
1091,2226,30,1973
1092,6369,30,1971
1093,8912,30,2017
1094,2539,19,1979
1095,8928,20,2018
1096,7724,20,1985
1097,7439,20,2017
1098,6739,19,1998
1099,7007,19,1973
1100,5544,20,2009
1101,9694,19,1974
1102,7498,20,1971
1103,8078,3,1988
1104,6852,20,2001
1105,344,3,2002
1106,6371,20,2013
1107,7235,20,2007
1108,6513,30,1995
1109,5842,20,1978
1110,2960,20,1987
1111,7199,30,1989
1112,628,20,1985
1113,897,19,1994
1114,6402,19,1982
1115,8830,20,1985
1116,3008,3,2021
1117,4417,19,1971
1118,8217,9,2016
1119,2137,3,1983
1120,8126,3,1970
1121,915,9,1972
1122,1428,19,2018
1123,7381,19,1994
1124,3259,20,1978
1125,6265,19,2014
1126,7410,3,1999
1127,126,20,2001
1128,3590,20,1983
1129,9641,20,1982
1130,1565,19,1978
1131,9703,3,2015
1132,1022,3,1976
1133,6739,19,1997
1134,8764,19,2013
1135,4986,20,1995
1136,5689,30,2009
1137,7011,19,1985
1138,7824,19,2020
1139,9671,19,2008
1140,9351,19,1982
1141,972,20,1970
1142,9397,20,2018
1143,1153,20,1979
1144,8983,3,2001
1145,6334,3,1993
1146,5520,19,2020
1147,7789,3,2022
1148,9785,3,1991
1149,6363,30,2000
1150,541,30,2012
1151,6693,19,1975
1152,9610,19,1994
1153,6169,30,1986
1154,2513,20,1979
1155,5651,19,2021
1156,9512,20,2013
1157,9674,3,2007
1158,8145,3,2017
1159,9218,20,1983
1160,5518,20,1974
1161,3606,30,1995
1162,5387,20,2012
1163,9199,20,1972
1164,4435,20,1973
1165,437,30,1971
1166,402,20,2016
1167,5885,20,2020
1168,3143,19,1983
1169,3167,30,1985
1170,1080,30,2020
1171,4115,3,1975
1172,4802,30,2010
1173,6472,20,2012
1174,9855,30,1977
1175,5874,20,1973
1176,3552,3,2015
1177,3684,30,1998
1178,8093,30,2020
1179,9245,20,1994
1180,8405,9,1986
1181,6489,30,1985
1182,5495,3,1999
1183,2852,3,1972
1184,351,20,2007
1185,6458,30,2022
1186,5764,19,1985
1187,4811,19,1980
1188,2323,20,1974
1189,4681,30,1990
1190,8419,9,1989
1191,6016,3,1985
1192,6593,20,2001
1193,9967,20,2004
1194,6151,19,1976
1195,7301,30,2008
1196,7076,19,1990
1197,5106,19,2008
1198,4571,20,2015
1199,4538,30,1986
1200,4803,19,2005
1201,1202,30,1995
1202,1083,19,2002
1203,4381,20,1995
1204,4103,19,1972
1205,1525,19,2017
1206,4414,19,1990
1207,2248,20,1986
1208,3817,20,1972
1209,624,3,1997
1210,3568,19,2012
1211,4603,20,2016
1212,7047,20,1990
1213,2656,19,2019
1214,1685,19,2017
1215,6428,20,1980
1216,1900,3,2011
1217,951,20,2006
1218,6587,20,1997
1219,3775,30,1974
1220,3304,20,1971
1221,1418,19,1986
1222,4638,20,2010
1223,2871,19,2003
1224,3209,20,1978
1225,7011,3,1974
1226,9618,20,1984
1227,3928,20,2005
1228,3073,20,1984
1229,7960,9,1989
1230,2163,20,2013
1231,2609,9,2011
1232,9267,20,1997
1233,6671,19,1983
1234,2448,20,2005
1235,4661,19,1985
1236,4833,20,2016
1237,2069,20,2008
1238,3794,30,2002
1239,3303,19,2022
1240,9511,20,2005
1241,9541,20,1987
1242,5004,30,1970
1243,7685,3,1974
1244,707,20,1993
1245,3701,19,1979
1246,809,30,2008
1247,6037,19,1993
1248,9089,20,1983
1249,4192,30,2010
1250,8036,3,2018
1251,2820,19,1993
1252,2131,20,2015
1253,5110,3,1978
1254,9999,20,1980
1255,29,19,2006
1256,2124,19,1978
1257,9660,20,1972
1258,5511,30,2013
1259,5302,30,1999
1260,2454,3,1971
1261,4156,20,1995
1262,4145,9,1988
1263,2193,30,2017
1264,8491,19,1998
1265,2714,30,2015
1266,9989,20,1970
1267,9392,30,2003
1268,9565,9,1999
1269,8803,30,1980
1270,9559,3,2015
1271,5864,3,1995
1272,1038,20,2023
1273,4533,20,2012
1274,7764,3,1982
1275,8146,19,1988
1276,8999,30,2007
1277,9260,20,1980
1278,1404,30,2014
1279,756,30,2017
1280,7125,20,2022
1281,7754,20,2001
1282,6415,19,2009
1283,5512,3,1971
1284,6223,9,2011
1285,5944,19,1984
1286,5900,19,2015
1287,7860,19,2008
1288,5318,19,2023
1289,51,20,1977
1290,2655,30,1996
1291,102,30,1981
1292,1499,30,2003
1293,9335,19,2011
1294,9145,30,1995
1295,5401,19,2016
1296,3202,20,1976
1297,8046,20,1992
1298,8866,19,2005
1299,7340,30,1984
1300,198,19,1993
1301,3047,3,1980
1302,5946,3,1993
1303,8784,30,1982
1304,3202,19,2009
1305,9631,30,1993
1306,4017,20,2011
1307,1715,20,2004
1308,3628,30,1990
1309,6492,19,1970
1310,4870,30,1989
1311,9195,3,2021
1312,5548,20,2006
1313,8960,20,2000
1314,1662,3,2016
1315,9229,19,2016
1316,5956,20,1993
1317,6099,20,2018
1318,6836,30,2012
1319,7002,19,1984
1320,3753,3,1972
1321,8583,30,1997
1322,9277,19,1989
1323,541,30,2013
1324,1215,20,1992
1325,6990,3,2014
1326,4636,19,2007
1327,6121,19,1971
1328,2157,30,1999
1329,5431,19,1983
1330,8264,30,1979
1331,9360,19,1978
1332,2637,20,2012
1333,2731,30,1975
1334,6485,20,1999
1335,8815,3,1998
1336,136,20,1974
1337,1611,30,1995
1338,3674,20,1977
1339,3076,3,1978
1340,1535,3,1991
1341,7524,20,2020
1342,1858,20,1997
1343,2361,3,1977
1344,175,20,1984
1345,7326,3,1988
1346,6055,30,1979
1347,6989,19,2013
1348,868,20,1999
1349,8190,3,2014
1350,1182,3,1992
1351,6723,19,2001
1352,8897,19,1981
1353,3121,19,2022
1354,3953,20,2000
1355,85,19,1981
1356,4075,30,2003
1357,3248,19,1998
1358,9108,19,1989
1359,3384,30,1981
1360,4479,20,2017
1361,4474,30,2002
1362,7069,3,1998
1363,97,9,1973
1364,2497,30,1991
1365,45,3,2004
1366,5904,3,2003
1367,3363,3,2022
1368,9423,19,2012
