COVERAGE_ID,POLICYHOLDER_ID,COVERAGE_STATUS
145,7705,Active
147,1289,Active
149,1558,Active
150,8734,Active
155,6516,Active
156,4478,Active
158,4128,Active
159,421,Active
162,9244,Active
163,3740,Active
172,6397,Active
175,4036,Active
176,1343,Active
177,2766,Active
180,9042,Active
186,7042,Active
188,1760,Active
189,6496,Active
192,8218,Active
195,331,Active
196,6478,Active
200,2822,Active
207,6818,Active
210,7406,Active
211,3125,Active
212,2972,Active
215,6718,Active
219,9960,Active
220,8862,Active
222,1477,Active
233,4454,Active
236,6194,Active
238,7103,Active
242,3043,Active
243,6516,Active
254,2283,Active
255,7872,Active
258,6881,Active
259,5028,Expired
260,9092,Active
262,5552,Active
263,1585,Expired
264,6046,Expired
267,3573,Expired
268,387,Expired
269,6399,Active
270,2428,Active
272,5910,Expired
273,6722,Active
274,9887,Expired
275,5743,Expired
276,3065,Active
277,70,Expired
278,6464,Expired
280,9833,Active
281,9840,Active
283,2393,Expired
284,7430,Active
285,1746,Expired
286,900,Active
287,1686,Expired
288,6244,Active
289,3526,Active
290,1466,Expired
291,816,Expired
294,9800,Active
296,7590,Active
297,4430,Active
298,5799,Expired
300,1359,Expired
301,3657,Expired
302,9271,Active
306,3565,Active
308,5748,Active
309,1647,Expired
310,9508,Expired
312,797,Expired
313,2193,Active
314,5192,Expired
317,8861,Expired
319,6896,Active
320,9979,Active
325,2088,Expired
326,3287,Active
327,3196,Active
328,6309,Active
331,9669,Active
333,9415,Expired
334,1710,Active
336,1757,Expired
337,6592,Active
338,4695,Active
344,5040,Active
345,2762,Active
346,7059,Active
347,1355,Active
350,7635,Active
351,240,Expired
352,6575,Active
353,8612,Active
354,5138,Active
355,713,Active
358,1254,Expired
359,2949,Expired
361,1330,Active
362,8373,Active
363,1697,Active
364,3442,Active
365,3663,Active
366,5629,Active
367,3580,Active
368,3438,Active
369,3431,Active
370,4347,Expired
371,5220,Active
373,397,Expired
374,9312,Active
375,8626,Active
376,5870,Active
380,4598,Expired
384,3530,Active
387,9060,Active
388,9549,Active
390,4655,Active
391,8991,Expired
392,3763,Active
394,7913,Active
397,10000,Active
400,756,Expired
402,8770,Active
406,6046,Expired
407,1703,Expired
409,6861,Active
410,9898,Active
411,6364,Active
413,3237,Active
415,2118,Expired
416,3323,Active
417,1340,Active
418,3404,Active
419,9424,Active
420,9059,Active
422,4256,Expired
423,5174,Expired
424,4666,Active
427,7946,Expired
428,5609,Active
430,23,Active
431,2843,Active
432,9700,Expired
433,912,Active
435,6677,Expired
436,9814,Expired
439,7234,Active
441,8226,Expired
442,9164,Active
445,1559,Active
446,506,Expired
447,8401,Expired
448,1517,Expired
449,7888,Active
450,1504,Active
453,5828,Expired
455,3793,Active
456,2413,Active
457,6962,Expired
458,9759,Expired
459,3216,Expired
461,3666,Active
462,2157,Expired
463,3831,Active
464,1625,Active
466,8190,Expired
470,1326,Active
471,2152,Active
472,1548,Active
473,8892,Expired
474,1319,Expired
475,1584,Active
477,8065,Active
480,1601,Expired
483,6318,Expired
484,9065,Expired
486,3624,Expired
490,6595,Expired
496,986,Expired
497,3707,Active
500,2678,Active
501,8588,Active
502,4822,Expired
505,8332,Active
507,1248,Active
508,3202,Active
509,2950,Active
511,8469,Expired
512,534,Expired
514,3616,Expired
515,3282,Active
518,9790,Active
520,8668,Expired
521,7908,Active
522,388,Expired
525,6258,Active
528,3554,Active
529,1766,Active
530,2519,Active
536,8205,Active
538,2805,Expired
539,4097,Active
541,5561,Active
542,4751,Active
543,7822,Expired
544,6544,Active
545,1632,Active
548,8738,Active
550,7397,Active
551,1363,Active
553,3381,Active
554,4491,Active
555,6995,Active
557,3550,Active
558,7342,Active
563,4567,Expired
565,7170,Active
567,4179,Active
569,6217,Active
572,1652,Active
573,8287,Active
574,5628,Active
576,9098,Active
578,5087,Expired
579,5193,Active
580,1593,Expired
581,7148,Active
582,617,Active
585,8670,Active
588,5589,Active
589,7740,Active
591,8809,Active
593,7753,Active
594,7452,Active
598,5270,Expired
599,468,Active
601,7214,Active
602,7610,Expired
604,7552,Active
605,5045,Expired
606,7462,Expired
607,3096,Active
608,9024,Active
609,1776,Expired
612,368,Expired
613,365,Active
615,8459,Expired
618,5735,Expired
619,2210,Active
620,9287,Active
621,5710,Active
622,5910,Active
624,1759,Active
625,670,Expired
628,9959,Active
631,3355,Expired
632,6702,Expired
633,5799,Expired
634,1421,Active
636,7513,Active
639,8442,Active
642,7048,Active
644,5029,Expired
647,6636,Active
648,2942,Active
649,404,Expired
652,1901,Active
653,5239,Active
654,3176,Active
656,8613,Expired
658,3975,Expired
661,3338,Active
662,1622,Active
664,6941,Active
665,2713,Active
666,9733,Expired
667,3300,Active
668,4214,Active
669,5741,Active
670,807,Active
671,1898,Active
674,2897,Active
678,9982,Expired
680,3875,Active
681,9315,Active
682,1611,Expired
684,6503,Active
685,7863,Active
686,2051,Expired
687,4250,Expired
688,9317,Active
691,2832,Active
692,7202,Expired
693,2025,Active
694,9978,Active
696,4959,Expired
699,3148,Active
700,5448,Active
701,8981,Active
702,1456,Active
703,9919,Expired
708,7415,Active
709,9625,Active
711,5064,Active
712,8936,Active
714,6056,Active
717,7666,Active
718,680,Expired
719,9590,Expired
720,1283,Expired
721,2201,Expired
722,3745,Active
724,4172,Active
727,9273,Active
728,8349,Active
729,9514,Active
730,7245,Expired
733,3128,Expired
734,3657,Active
735,3723,Expired
736,4774,Active
737,266,Active
739,2060,Active
740,8007,Active
742,2241,Expired
743,1508,Active
744,3563,Active
745,2825,Active
746,8941,Expired
748,4386,Expired
750,8636,Expired
752,4646,Expired
754,4413,Active
755,8156,Active
756,7895,Active
757,7711,Expired
763,7941,Active
764,5395,Expired
768,8071,Expired
257,1633,Active
261,3052,Active
265,499,Active
266,6823,Active
271,2814,Active
279,969,Active
282,2377,Active
292,8512,Active
293,6917,Active
295,6638,Active
299,6281,Active
303,8850,Active
304,905,Active
305,1169,Active
307,3052,Active
311,5784,Active
315,8133,Active
316,7421,Active
318,4509,Active
321,6075,Active
322,6227,Active
323,1343,Active
324,1558,Active
329,6095,Active
330,3564,Active
332,8623,Active
335,5649,Active
339,1771,Active
340,212,Active
341,8640,Active
342,4241,Active
343,9638,Active
348,3411,Active
349,2899,Active
356,104,Active
357,7269,Active
360,9948,Active
372,7558,Active
377,6194,Active
378,5938,Active
379,6577,Active
381,3646,Active
382,1621,Active
383,3665,Active
385,3041,Active
386,6912,Active
389,3889,Active
393,9500,Active
395,4548,Active
396,7703,Active
398,8640,Active
399,4727,Active
401,4191,Active
403,197,Active
404,2040,Active
405,7332,Active
408,1237,Active
412,399,Active
414,4761,Active
421,9938,Active
425,8815,Active
426,2725,Active
429,726,Active
434,8301,Active
437,5154,Active
438,5830,Active
440,826,Active
443,3119,Active
444,6888,Active
451,4519,Active
452,9087,Active
454,7152,Active
460,3513,Active
465,4287,Active
467,3456,Active
468,2811,Active
469,9148,Active
476,6453,Active
478,8651,Active
479,7093,Active
481,6176,Active
482,5099,Active
485,9154,Active
487,9399,Active
488,2016,Active
489,9073,Active
491,6401,Active
492,1867,Active
493,7838,Active
494,2989,Active
495,5175,Active
498,2929,Active
499,3061,Active
503,5488,Active
504,9794,Active
506,3395,Active
510,6739,Active
513,5224,Active
516,3281,Active
517,9142,Active
519,5088,Active
523,4039,Active
524,1389,Active
526,9469,Active
527,9015,Active
531,7760,Active
532,9668,Active
533,3636,Active
534,5772,Active
535,2596,Active
537,8786,Active
540,3874,Active
546,3801,Active
547,8755,Active
549,69,Active
552,77,Active
556,4758,Active
559,4981,Active
560,4928,Active
561,5493,Active
562,3886,Active
564,7854,Active
566,6145,Active
568,1390,Active
570,8884,Active
571,4089,Active
575,667,Active
577,2035,Active
583,9604,Active
584,5334,Active
586,3015,Active
587,7833,Active
590,2321,Active
592,7857,Active
595,8704,Active
596,2049,Active
597,9136,Active
600,7738,Active
603,7187,Active
610,543,Active
611,1256,Active
614,8514,Active
616,3448,Active
617,7276,Active
623,9304,Active
626,4405,Active
627,275,Active
629,9178,Active
630,4901,Active
635,2554,Active
637,4840,Active
638,2660,Active
640,3052,Active
641,1743,Active
643,2420,Active
645,2733,Active
646,3344,Active
650,3258,Active
651,663,Active
655,4058,Active
657,5830,Active
659,6730,Active
660,5566,Active
663,5773,Active
672,7510,Active
673,272,Active
675,1170,Active
676,4161,Active
677,9034,Active
679,6102,Active
683,4154,Active
689,697,Active
690,6500,Active
695,1182,Active
697,405,Active
698,867,Active
704,5409,Active
705,952,Active
706,7409,Active
707,5211,Active
710,2542,Active
713,3667,Active
715,3730,Active
716,9140,Active
723,4741,Active
725,2540,Active
726,7470,Active
731,9365,Active
732,6608,Active
738,9573,Active
741,4362,Active
747,3667,Active
749,2018,Active
751,6768,Active
753,7122,Active
758,9082,Active
759,402,Active
760,5681,Active
761,3200,Active
762,7944,Active
765,2638,Active
766,3028,Active
767,9248,Active
770,7657,Active
771,1192,Expired
772,8142,Active
773,452,Expired
775,1780,Expired
776,1322,Active
777,8298,Active
779,592,Active
781,6699,Expired
782,9081,Expired
783,8099,Active
784,8428,Active
785,9639,Active
787,525,Active
790,7534,Active
792,8308,Active
795,3099,Active
796,4539,Expired
800,6098,Active
802,9784,Active
803,6697,Active
804,5114,Expired
807,3096,Expired
810,2828,Expired
813,7073,Expired
814,5072,Expired
816,7007,Expired
818,4145,Active
819,3587,Active
821,5050,Active
822,2411,Active
824,9091,Active
827,7647,Expired
830,6243,Active
832,8675,Expired
833,1804,Active
836,1078,Expired
837,3465,Active
838,4155,Active
839,8677,Active
840,6184,Active
842,2003,Expired
843,6839,Active
844,3680,Active
846,4019,Active
848,7579,Expired
849,6512,Active
851,4669,Active
856,6152,Active
857,7597,Active
859,5558,Expired
860,480,Active
861,6485,Expired
862,9150,Active
863,7095,Active
865,7462,Expired
866,4932,Active
867,8312,Expired
868,1969,Active
869,8410,Active
872,6342,Active
874,7462,Active
875,4483,Active
877,5669,Active
878,6776,Expired
879,1328,Active
880,783,Active
882,9953,Expired
884,6487,Active
885,6053,Expired
887,6619,Active
888,7022,Active
891,825,Active
892,3545,Active
894,1371,Active
896,7806,Expired
898,7197,Active
899,1604,Active
900,9868,Active
901,4839,Expired
903,2818,Expired
906,2451,Active
907,1106,Active
908,1622,Active
911,9031,Active
912,1583,Active
914,9460,Active
915,6296,Active
916,5033,Expired
918,5350,Active
921,7993,Active
922,1887,Expired
923,2444,Expired
925,2960,Expired
927,1028,Expired
928,343,Active
929,6247,Active
930,3376,Active
932,7378,Expired
933,9120,Active
934,8830,Active
935,8700,Expired
936,594,Active
938,1565,Expired
939,6947,Expired
944,8372,Expired
945,5611,Expired
946,7885,Active
947,2472,Expired
948,7104,Active
951,1965,Active
952,5365,Active
953,4836,Active
954,1591,Active
958,2425,Active
959,7132,Active
960,7829,Expired
961,3149,Active
962,7102,Active
963,2717,Active
964,933,Active
965,5922,Active
967,7704,Active
968,9490,Expired
969,3215,Active
970,6214,Active
971,4910,Active
972,3092,Active
973,2278,Active
975,9628,Expired
977,1899,Active
978,9267,Expired
979,260,Active
982,1683,Active
983,8146,Active
984,8832,Expired
987,1333,Active
989,5325,Active
991,2052,Expired
992,961,Active
994,5446,Active
995,155,Active
996,4492,Active
999,3310,Expired
1000,839,Active
1001,9145,Active
1002,9104,Active
1003,6871,Active
1005,1155,Active
1006,1080,Expired
1007,6282,Active
1008,424,Expired
1009,5482,Active
1010,2456,Active
1011,7566,Active
1012,1098,Active
1016,4723,Active
1019,4917,Active
1020,3055,Expired
1021,8619,Expired
1023,2223,Active
1024,2909,Active
1025,3704,Expired
1026,9104,Expired
1027,1821,Expired
1028,5602,Active
1030,3355,Active
1031,1120,Active
1032,4018,Expired
1036,9651,Active
1038,3736,Active
1040,2623,Active
1041,2812,Expired
1042,9893,Expired
1043,7713,Active
1044,6148,Expired
1046,7384,Expired
1047,6512,Active
1048,2880,Active
1049,5292,Active
1052,6798,Active
1053,3821,Active
1054,5063,Active
1058,623,Active
1059,7234,Active
1060,1038,Expired
1061,5585,Active
1062,2231,Expired
1063,6123,Expired
1066,959,Active
1068,5474,Active
1069,3829,Active
1071,8741,Active
1073,9470,Expired
1074,571,Active
1077,3610,Active
1078,2218,Active
1085,472,Active
1086,5993,Active
1087,5284,Expired
1091,7787,Expired
1093,3336,Expired
1096,8772,Expired
1098,5677,Expired
1100,8360,Expired
1101,4828,Active
1103,3376,Active
1104,8713,Active
1107,6889,Active
1111,6318,Expired
1112,5387,Expired
1116,9273,Expired
1117,4874,Active
1118,8395,Expired
1119,2698,Active
1120,9707,Expired
1121,8352,Expired
1123,4318,Expired
1127,4390,Active
1128,8173,Active
1130,9866,Expired
1131,3266,Active
1132,125,Active
1134,5833,Active
1137,7842,Expired
1144,3502,Expired
1145,9848,Active
1147,2157,Active
1148,7632,Active
1150,4485,Active
1152,1759,Expired
1153,7301,Active
1155,1032,Expired
1156,1341,Expired
1158,7243,Active
1161,4559,Expired
1163,1980,Active
1164,80,Active
1166,6218,Active
1167,6569,Active
1169,9902,Expired
1172,6621,Active
1174,82,Active
1175,5051,Active
1176,3137,Active
1177,1211,Active
1178,4360,Active
1179,4915,Active
1181,5017,Active
1182,8597,Active
1186,5579,Active
1189,6330,Expired
1191,4939,Active
1193,855,Active
1194,1067,Active
1195,1894,Expired
1198,5392,Active
1199,961,Active
1200,409,Expired
1201,5197,Active
1202,7765,Active
1203,4286,Active
1204,2845,Expired
1205,3090,Expired
1206,5836,Active
1207,2992,Active
1208,5542,Active
1209,2657,Active
1212,9903,Active
1213,5560,Active
1214,7078,Active
1215,1768,Active
1216,673,Active
1218,639,Expired
1220,6480,Expired
1224,397,Active
1225,1972,Expired
1226,7568,Expired
1227,8416,Expired
1231,1935,Active
1234,6864,Expired
1235,1721,Active
1236,5600,Active
1237,9523,Expired
1239,1706,Expired
1240,5934,Expired
1241,3231,Active
1242,8032,Active
1243,1652,Active
1247,4494,Expired
1248,5246,Expired
1249,2966,Expired
1250,1410,Expired
1251,6534,Active
1254,4488,Active
1255,3252,Expired
1257,1353,Expired
1258,406,Active
1259,370,Active
1260,3354,Active
1261,5519,Expired
1263,2599,Active
1266,1382,Expired
1267,637,Expired
1268,1440,Expired
1269,9334,Active
1271,704,Expired
1273,3231,Active
1275,807,Active
1276,6947,Expired
1277,9662,Expired
1278,7723,Active
1279,4612,Active
1282,3421,Expired
1283,8398,Expired
1288,7009,Active
1289,4020,Active
1291,9164,Active
1292,2223,Expired
1295,3920,Active
1296,566,Expired
1297,9023,Active
1298,6699,Active
1300,5130,Active
1301,8356,Expired
1302,5587,Active
1304,3963,Active
1311,4611,Active
1312,1069,Expired
1314,1601,Expired
1315,8692,Active
1317,9769,Active
1318,1632,Expired
1319,6134,Expired
1320,9623,Active
1321,5114,Expired
1322,4168,Expired
1323,6196,Active
1326,3625,Active
1329,2664,Active
1330,3471,Active
1332,7493,Expired
1333,1412,Expired
1335,1894,Expired
1336,8333,Active
1338,9442,Expired
1342,7852,Expired
1343,8515,Expired
1344,9759,Active
1345,7525,Active
1346,9707,Expired
1347,4779,Expired
1348,1225,Active
1349,4969,Expired
1350,4663,Expired
1351,1500,Expired
1353,4198,Active
1356,4861,Active
1357,4914,Active
1359,6091,Active
1360,7858,Expired
1363,7408,Active
1364,4200,Active
1365,2277,Active
1366,1995,Active
1367,8330,Active
1368,9816,Active
1369,6525,Active
1370,2091,Active
1371,3916,Active
1374,4298,Expired
1376,3847,Active
1377,1056,Active
1381,2547,Active
1385,8830,Active
1386,1118,Active
1387,4662,Active
1388,5634,Expired
1389,4834,Active
1390,3791,Active
1392,709,Expired
1393,3251,Active
1394,2202,Active
1395,2042,Expired
1398,9998,Active
1399,3044,Active
1402,5304,Active
1403,3980,Expired
1405,5323,Active
1407,5571,Active
1408,4955,Expired
1409,7834,Active
1413,2937,Active
1414,6672,Active
1418,6843,Active
1421,3657,Expired
1422,6111,Expired
1425,6748,Active
1426,5656,Active
1427,8263,Active
1428,2980,Expired
1429,2971,Expired
1430,5780,Active
1431,2480,Expired
1434,9261,Active
1436,688,Active
1439,8864,Expired
1441,8912,Expired
1442,839,Expired
1445,1797,Active
1446,1225,Expired
1447,404,Active
1448,8714,Active
1449,4707,Active
1450,68,Active
1452,4126,Active
1455,5481,Expired
1456,4441,Expired
1459,9031,Active
1460,917,Active
1461,6215,Active
1463,4973,Active
1465,1858,Active
1466,4989,Expired
1471,9085,Expired
1472,7347,Active
1474,1542,Expired
1476,87,Expired
1477,4775,Active
1481,4249,Active
1482,8348,Active
1484,8097,Active
1485,5647,Active
1486,4611,Active
1487,4678,Expired
1488,3605,Expired
1490,2405,Expired
1493,6694,Expired
1494,8323,Active
1496,27,Active
1497,1593,Active
1501,2850,Active
1502,2758,Active
1503,5153,Expired
1504,9705,Active
1505,4710,Active
1506,8719,Active
1507,1813,Expired
1508,9728,Expired
1514,3404,Expired
1515,5080,Active
1516,654,Active
1517,7899,Active
1519,4768,Active
1520,2624,Expired
1521,6263,Active
1523,8531,Active
1524,2164,Active
1526,6046,Expired
1528,4679,Active
1529,8259,Active
1530,3203,Expired
1531,8491,Expired
1533,5985,Active
1534,2951,Active
1536,1838,Active
1539,4799,Expired
1540,9477,Active
1541,8503,Expired
1546,4749,Active
1548,1009,Active
1549,5258,Active
1550,1572,Active
1551,4054,Active
1552,7243,Expired
1554,9122,Active
1555,398,Active
1559,2433,Active
1561,4567,Active
1562,5629,Expired
1563,2223,Active
1564,4597,Active
1565,5462,Active
1567,8916,Expired
1569,1099,Active
1570,2971,Active
1571,157,Active
1572,9416,Active
1573,9973,Active
1574,81,Active
1578,2072,Active
1579,122,Active
1580,8113,Expired
1582,6852,Expired
1584,2650,Active
1585,5457,Active
1588,4634,Active
1591,9662,Active
1592,5133,Active
1594,1994,Active
1595,3729,Active
1598,3096,Expired
1599,9894,Active
1601,1994,Expired
1602,2375,Active
1603,4511,Expired
1605,1661,Expired
1606,7580,Active
1607,8430,Active
1608,2618,Active
1609,7216,Expired
1610,5480,Active
1613,7500,Active
1614,8555,Active
1617,7013,Active
1618,3654,Active
1619,6148,Expired
1620,6273,Expired
1621,7480,Expired
1623,5349,Expired
1624,4245,Expired
1626,8773,Active
1628,5629,Expired
1630,6367,Expired
1631,9311,Expired
1633,814,Expired
1634,7509,Expired
1635,2784,Expired
1636,514,Active
1638,4708,Expired
1639,5480,Active
1640,1560,Expired
1641,6093,Expired
1643,1079,Active
1644,643,Active
1645,1884,Expired
1648,1645,Expired
1649,397,Active
1650,337,Active
1652,7606,Expired
1654,5391,Expired
1655,4153,Expired
1657,5651,Active
1659,8635,Active
1660,55,Expired
1663,5731,Active
1664,2487,Active
1669,2154,Active
1670,8269,Active
1671,6527,Active
1674,6411,Expired
1675,2909,Expired
1677,3557,Expired
1678,5089,Expired
1679,2483,Expired
1681,3955,Expired
1682,7336,Active
1683,3326,Active
1684,9211,Expired
1685,1204,Active
1687,8768,Active
1688,9231,Active
1689,278,Active
1690,9414,Active
1692,6044,Expired
1696,3968,Active
1697,557,Active
1698,865,Active
1699,3579,Active
1700,9894,Expired
1702,5572,Active
1704,8776,Expired
1707,5158,Expired
1709,2753,Active
1710,5605,Expired
1711,1190,Active
1712,2716,Active
1713,4408,Active
1714,5089,Active
1719,6522,Active
1721,76,Expired
1722,6340,Expired
1725,3354,Active
1726,4428,Active
1729,9473,Expired
1730,3588,Active
1732,7505,Active
1733,3225,Expired
1734,2310,Expired
1739,7774,Active
1741,2310,Expired
1742,1790,Active
1744,1036,Active
1745,2244,Active
1747,8838,Active
1748,3127,Active
1749,8706,Expired
1750,4855,Active
1751,875,Active
1753,5050,Active
1754,6309,Active
1755,4227,Active
1756,7836,Active
1759,3393,Active
1760,8415,Active
1763,8812,Active
1768,5465,Active
1769,8211,Active
1770,174,Active
1772,4633,Active
1773,9897,Active
1774,5871,Expired
1776,6751,Active
1777,869,Expired
1779,1725,Active
1780,9814,Active
1782,6552,Active
1785,8548,Expired
1787,1700,Active
1789,3817,Active
1792,1653,Active
769,4688,Active
774,427,Active
778,4968,Active
780,3667,Active
786,8031,Active
788,4912,Active
789,3643,Active
791,632,Active
793,9479,Active
794,2952,Active
797,2382,Active
798,9109,Active
799,6730,Active
801,9350,Active
805,7345,Active
806,2328,Active
808,9441,Active
809,1337,Active
811,9087,Active
812,9011,Active
815,225,Active
817,4036,Active
820,6179,Active
823,4841,Active
825,6281,Active
826,4551,Active
828,3040,Active
829,2779,Active
831,5412,Active
834,4649,Active
835,9781,Active
841,4795,Active
845,5464,Active
847,5424,Active
850,6229,Active
852,426,Active
853,5154,Active
854,7320,Active
855,916,Active
858,6558,Active
864,3240,Active
870,1798,Active
871,145,Active
873,8374,Active
876,9972,Active
881,189,Active
883,188,Active
886,4195,Active
889,8976,Active
890,3458,Active
893,6744,Active
895,5222,Active
897,3759,Active
902,2018,Active
904,7864,Active
905,228,Active
909,8196,Active
910,9307,Active
913,6658,Active
917,4221,Active
919,3344,Active
920,5313,Active
924,131,Active
926,771,Active
931,138,Active
937,4840,Active
940,8123,Active
941,3682,Active
942,9588,Active
943,6818,Active
949,6653,Active
950,4232,Active
955,9176,Active
956,5841,Active
957,8672,Active
966,114,Active
974,3818,Active
976,4064,Active
980,293,Active
981,4285,Active
985,5804,Active
986,9449,Active
988,5683,Active
990,345,Active
993,599,Active
997,2213,Active
998,7351,Active
1004,4953,Active
1013,2423,Active
1014,1122,Active
1015,2666,Active
1017,8807,Active
1018,9791,Active
1022,1442,Active
1029,8767,Active
1033,4815,Active
1034,1189,Active
1035,5826,Active
1037,5529,Active
1039,361,Active
1045,4463,Active
1050,6220,Active
1051,8238,Active
1055,9663,Active
1056,2873,Active
1057,6302,Active
1064,9881,Active
1065,3575,Active
1067,3747,Active
1070,6407,Active
1072,7803,Active
1075,784,Active
1076,8676,Active
1079,9321,Active
1080,2993,Active
1081,4508,Active
1082,5943,Active
1083,8614,Active
1084,7036,Active
1088,9467,Active
1089,1237,Active
1090,4314,Active
1092,3658,Active
1094,9522,Active
1095,9230,Active
1097,6506,Active
1099,9346,Active
1102,1464,Active
1105,9555,Active
1106,5700,Active
1108,2764,Active
1109,5451,Active
1110,485,Active
1113,2539,Active
1114,3351,Active
1115,9198,Active
1122,1216,Active
1124,9033,Active
1125,7339,Active
1126,8437,Active
1129,8653,Active
1133,6732,Active
1135,248,Active
1136,752,Active
1138,3370,Active
1139,2213,Active
1140,7434,Active
1141,7453,Active
1142,4034,Active
1143,2962,Active
1146,4743,Active
1149,7440,Active
1151,6460,Active
1154,8521,Active
1157,9377,Active
1159,9461,Active
1160,5681,Active
1162,5472,Active
1165,6119,Active
1168,48,Active
1170,5594,Active
1171,5649,Active
1173,1237,Active
1180,9449,Active
1183,9506,Active
1184,8779,Active
1185,2830,Active
1187,8020,Active
1188,4330,Active
1190,7883,Active
1192,9438,Active
1196,6478,Active
1197,6570,Active
1210,3366,Active
1211,4418,Active
1217,1654,Active
1219,9436,Active
1221,630,Active
1222,8496,Active
1223,8238,Active
1228,6515,Active
1229,4594,Active
1230,8908,Active
1232,6708,Active
1233,6338,Active
1238,2036,Active
1244,1910,Active
1245,7492,Active
1246,4851,Active
1252,4543,Active
1253,8617,Active
1256,2204,Active
1262,8228,Active
1264,3891,Active
1265,9981,Active
1270,255,Active
1272,7330,Active
1274,1050,Active
1280,4137,Active
1281,3848,Active
1284,211,Active
1285,8880,Active
1286,2715,Active
1287,7134,Active
1290,1733,Active
1293,5216,Active
1294,9642,Active
1299,1256,Active
1303,6313,Active
1305,2644,Active
1306,5626,Active
1307,3081,Active
1308,7406,Active
1309,4807,Active
1310,7641,Active
1313,924,Active
1316,6449,Active
1324,819,Active
1325,3194,Active
1327,4394,Active
1328,5681,Active
1331,2666,Active
1334,751,Active
1337,6069,Active
1339,3913,Active
1340,1296,Active
1341,6944,Active
1352,326,Active
1354,1485,Active
1355,5044,Active
1358,4747,Active
1361,7843,Active
1362,6888,Active
1372,5406,Active
1373,2401,Active
1375,8512,Active
1378,5047,Active
1379,3119,Active
1380,5957,Active
1382,7383,Active
1383,1890,Active
1384,9074,Active
1391,8251,Active
1396,5317,Active
