ACCIDENT_ID,POLICYHOLDER_ID,VEHICLE_ID,ACCIDENT_TYPE,ACCIDENT_DATE,ESTIMATED_COST,ACTUAL_REPAIR_COST,AT_FAULT,DUI
47,722,5161,7,2022-04-10,5521,5871,TRUE,FALSE
51,1736,3474,1,2022-12-11,4258,4785,FALSE,FALSE
53,5110,5504,1,2020-07-07,9124,12836,TRUE,FALSE
54,8285,8878,6,2020-09-19,148,171,TRUE,FALSE
55,4544,7127,2,2020-03-29,9924,14382,FALSE,FALSE
56,5413,5609,1,2022-10-30,1715,2070,TRUE,TRUE
57,3115,1340,1,2023-06-05,635,697,TRUE,FALSE
58,2861,1645,3,2022-07-29,1569,1812,TRUE,TRUE
59,6602,9998,2,2020-04-24,429,607,TRUE,FALSE
60,6734,76,2,2020-03-30,3733,5351,TRUE,FALSE
62,2496,1905,4,2021-03-29,2498,2693,FALSE,FALSE
63,106,3747,7,2021-08-22,928,1231,TRUE,FALSE
65,4833,5376,4,2019-06-14,423,661,FALSE,FALSE
66,4026,8427,1,2019-04-06,6852,8877,TRUE,FALSE
69,1366,2557,4,2020-06-29,3418,5129,TRUE,FALSE
70,4488,8730,1,2023-05-15,3835,4979,TRUE,TRUE
73,3292,9372,2,2023-08-13,9676,13664,TRUE,TRUE
75,9947,6233,7,2020-12-15,7053,10984,FALSE,FALSE
76,4738,5828,7,2019-05-05,8003,10453,TRUE,FALSE
78,9560,3291,2,2020-12-20,4614,5329,TRUE,FALSE
79,5383,7719,5,2022-11-11,830,1144,FALSE,FALSE
81,5497,9218,5,2021-03-17,7006,8005,FALSE,FALSE
82,6050,4434,2,2019-10-08,7960,10214,FALSE,FALSE
83,2819,3323,6,2020-07-27,6458,9222,FALSE,FALSE
84,1127,3478,4,2020-02-02,8216,10996,TRUE,TRUE
85,6299,8428,4,2021-11-17,4772,7173,FALSE,FALSE
86,981,5554,4,2019-07-17,5201,7047,FALSE,FALSE
87,6701,3316,3,2023-05-22,5420,8119,FALSE,FALSE
88,8414,6228,2,2023-08-27,9260,12337,FALSE,FALSE
89,9798,8412,5,2019-03-10,7996,9572,TRUE,TRUE
90,8693,1029,3,2019-10-19,1324,1919,FALSE,FALSE
91,8506,7451,3,2021-02-04,4126,4689,FALSE,FALSE
92,4553,5899,1,2023-10-21,1030,1171,FALSE,FALSE
93,7938,8828,6,2023-03-21,8859,13035,TRUE,TRUE
94,2536,9848,7,2023-10-28,1139,1440,TRUE,FALSE
95,8939,6691,1,2022-11-18,2079,2412,TRUE,FALSE
96,8466,6549,5,2022-08-27,1469,1774,TRUE,FALSE
97,3555,9915,2,2021-11-03,6737,9592,TRUE,FALSE
98,5305,5791,4,2023-01-13,8373,12396,TRUE,FALSE
99,4251,2070,6,2023-09-30,8635,13295,TRUE,FALSE
100,3732,621,5,2023-01-21,5052,6428,FALSE,FALSE
101,4437,2972,6,2019-01-08,3470,5450,TRUE,TRUE
103,765,1292,7,2020-10-20,3007,4240,TRUE,FALSE
105,7753,3708,1,2019-06-21,2870,3202,TRUE,FALSE
106,6002,6525,4,2020-01-02,7572,9444,TRUE,FALSE
108,1294,8457,5,2021-11-14,7722,12350,FALSE,TRUE
110,5046,6951,5,2022-07-30,9281,13153,FALSE,FALSE
113,2071,9171,3,2023-07-09,9956,14512,FALSE,TRUE
115,7112,2041,5,2020-12-17,3742,4092,TRUE,FALSE
116,8451,9711,3,2019-02-16,1914,2702,TRUE,FALSE
117,4187,8852,4,2023-08-19,9409,12015,TRUE,FALSE
118,6016,9116,5,2022-02-14,277,399,TRUE,FALSE
119,3193,9727,5,2019-01-29,6564,10023,TRUE,FALSE
121,6294,7353,3,2019-06-29,9025,12079,FALSE,FALSE
122,189,2011,7,2019-08-17,1388,1709,TRUE,TRUE
124,2962,2350,4,2023-07-13,1796,2841,FALSE,FALSE
125,9914,5912,6,2019-05-27,8405,10231,TRUE,FALSE
126,1477,7684,1,2020-01-13,4836,6187,FALSE,FALSE
129,9492,7982,3,2023-09-26,4778,5297,TRUE,FALSE
130,2884,6803,5,2022-10-08,2134,3070,FALSE,FALSE
131,7305,2141,1,2019-12-29,5416,7043,FALSE,FALSE
132,3033,6377,7,2019-02-17,8950,13646,FALSE,FALSE
133,4698,7788,3,2022-06-17,3243,3908,TRUE,TRUE
134,5591,684,2,2022-01-08,727,842,TRUE,FALSE
135,4481,9990,4,2020-11-04,2285,3208,TRUE,FALSE
136,1636,3030,1,2023-04-20,5327,7064,TRUE,FALSE
137,547,1327,5,2023-06-09,4095,5829,TRUE,TRUE
138,5585,7701,2,2022-06-17,3807,5402,TRUE,FALSE
139,2312,5222,5,2023-07-17,2481,2669,TRUE,FALSE
140,9333,1213,7,2019-05-26,9019,9583,TRUE,FALSE
142,3954,4366,2,2023-05-11,9582,10546,TRUE,FALSE
144,6858,7291,1,2021-06-16,6956,9919,FALSE,FALSE
146,3730,3436,5,2021-05-02,2498,3051,TRUE,FALSE
147,4684,5405,2,2019-02-01,7238,10572,TRUE,FALSE
148,4731,9807,2,2019-07-03,8622,9868,FALSE,FALSE
151,8524,2359,1,2020-08-24,6448,7579,TRUE,FALSE
152,7180,1348,5,2022-05-11,2884,3656,TRUE,FALSE
153,7110,1333,3,2022-09-05,4183,5996,FALSE,TRUE
154,7175,7993,4,2019-04-28,890,1363,TRUE,TRUE
155,8010,4169,6,2022-12-23,1863,2856,TRUE,FALSE
157,3398,2935,1,2019-05-02,7294,9207,TRUE,FALSE
158,8689,3651,5,2019-09-08,7009,10830,TRUE,FALSE
159,3703,872,2,2022-07-13,9448,13127,TRUE,TRUE
160,7308,1179,2,2019-12-22,9130,11394,TRUE,FALSE
161,135,8922,5,2019-05-24,5422,8559,FALSE,FALSE
162,7719,7199,5,2020-06-29,4280,5771,TRUE,FALSE
165,7625,2962,5,2022-09-03,294,385,TRUE,TRUE
166,5570,4747,2,2019-01-27,2595,4112,FALSE,FALSE
167,1332,8951,7,2022-10-08,116,127,TRUE,FALSE
168,6430,3068,1,2021-09-28,6059,9635,TRUE,FALSE
170,5974,5465,1,2020-11-06,3231,4769,TRUE,FALSE
171,9611,5834,7,2019-09-26,3717,3982,TRUE,TRUE
172,567,9638,1,2020-12-14,4518,6199,TRUE,FALSE
173,9379,6786,2,2021-07-03,7500,8877,FALSE,FALSE
174,8599,4347,6,2020-07-10,1143,1415,FALSE,FALSE
177,8885,1060,1,2022-11-26,8591,13264,TRUE,FALSE
178,3399,1829,7,2023-05-27,1002,1183,TRUE,FALSE
179,2742,12,4,2022-09-01,3826,5979,TRUE,FALSE
180,5031,627,7,2022-05-13,6059,6821,TRUE,FALSE
183,4732,5646,5,2019-10-30,9126,13605,FALSE,TRUE
184,1044,6567,7,2020-07-05,1916,2801,TRUE,FALSE
185,8500,8622,7,2023-04-26,5009,6609,FALSE,TRUE
188,1810,9163,2,2020-10-05,1122,1279,TRUE,FALSE
190,1296,8877,6,2020-03-27,7307,11120,FALSE,FALSE
191,376,6942,7,2023-03-04,1757,2180,FALSE,FALSE
194,5914,5170,6,2022-09-19,2652,3665,FALSE,FALSE
196,1539,9944,4,2021-11-29,3808,6071,TRUE,TRUE
197,4006,2950,7,2022-12-06,3234,3635,TRUE,FALSE
198,6702,832,5,2019-01-29,357,441,TRUE,FALSE
200,2084,6388,7,2023-05-25,4379,5513,TRUE,FALSE
202,1825,757,3,2023-03-01,5204,7571,FALSE,TRUE
203,9309,2947,5,2019-12-09,7193,9595,TRUE,TRUE
204,9461,4629,1,2020-02-08,9666,13442,TRUE,FALSE
207,6194,6369,7,2021-01-14,7250,9415,FALSE,FALSE
208,8547,4699,2,2023-06-20,2940,3626,FALSE,FALSE
209,6224,3109,1,2021-06-14,3884,4509,FALSE,TRUE
210,4442,7959,7,2019-11-22,7122,8570,TRUE,TRUE
211,7543,2374,4,2022-10-10,3366,4340,TRUE,TRUE
213,6922,2564,2,2019-03-04,4571,5889,FALSE,FALSE
214,2210,7942,7,2022-07-07,9441,13095,FALSE,FALSE
215,9097,9179,3,2023-04-26,8102,11360,FALSE,FALSE
217,829,4204,2,2022-06-01,8475,10561,TRUE,TRUE
218,9472,79,4,2023-07-03,3232,4291,TRUE,FALSE
220,2500,9403,3,2023-08-14,4093,6218,TRUE,FALSE
221,1110,18,1,2021-10-23,6912,8389,TRUE,FALSE
223,3599,406,5,2023-09-17,999,1443,TRUE,FALSE
225,72,7152,3,2019-03-10,131,163,FALSE,FALSE
226,2220,2442,3,2023-10-11,6819,7768,TRUE,FALSE
227,550,5896,1,2022-02-18,6100,7057,TRUE,FALSE
228,1262,6890,7,2019-08-14,6702,8717,TRUE,FALSE
230,9861,10,7,2020-07-31,5905,8361,FALSE,FALSE
231,1296,1433,7,2019-04-22,9599,10459,TRUE,FALSE
232,2289,710,3,2020-08-01,705,778,TRUE,FALSE
233,7511,2892,4,2023-01-12,1967,2589,TRUE,FALSE
234,8261,6912,4,2022-10-13,8633,10955,FALSE,FALSE
235,6931,1197,4,2022-02-08,8396,10829,TRUE,FALSE
236,3749,9297,7,2019-06-01,4387,4748,TRUE,FALSE
237,1419,9668,6,2021-01-23,9009,11495,TRUE,FALSE
240,9854,5417,4,2020-08-29,4547,6401,TRUE,TRUE
241,4527,123,5,2023-06-10,8565,9534,TRUE,FALSE
242,8453,8292,7,2019-02-06,1726,2732,TRUE,FALSE
245,8514,6679,3,2022-11-30,3912,5549,TRUE,FALSE
246,181,9773,5,2022-03-22,310,426,FALSE,FALSE
250,7868,4264,7,2019-03-02,5464,5859,TRUE,FALSE
252,6730,4135,2,2023-10-06,8658,11568,TRUE,FALSE
253,5641,9103,1,2023-07-23,6921,10110,FALSE,FALSE
255,3755,1707,3,2022-05-09,4226,4837,FALSE,FALSE
256,5698,7243,6,2019-07-01,5189,6454,FALSE,TRUE
27,4725,1008,5,2019-10-13,3265,4269,TRUE,FALSE
31,6487,9989,5,2020-04-15,3622,4753,FALSE,FALSE
102,9580,2832,7,2020-01-11,1337,2106,FALSE,FALSE
104,375,9943,1,2019-07-30,1785,2148,FALSE,FALSE
123,8900,2329,2,2021-06-23,3853,5956,TRUE,FALSE
128,2454,7848,4,2022-02-05,9330,14103,FALSE,TRUE
169,7379,3612,4,2021-04-19,9905,11771,FALSE,FALSE
181,5957,5402,4,2022-05-09,4361,5170,TRUE,FALSE
43,6982,7593,5,2019-12-29,6891,7921,TRUE,FALSE
61,2442,8687,5,2020-06-11,2225,3291,TRUE,FALSE
64,9133,6469,3,2022-02-22,6174,9200,TRUE,FALSE
127,7277,9429,3,2020-12-14,6383,8885,TRUE,FALSE
187,7494,3084,3,2020-02-19,6828,10141,TRUE,FALSE
201,162,4494,6,2020-12-23,2679,3771,FALSE,FALSE
219,2329,2048,5,2020-06-29,5688,7333,TRUE,FALSE
238,6915,8628,4,2020-11-23,4185,6653,TRUE,TRUE
239,1337,6285,1,2020-01-06,3400,4137,FALSE,TRUE
243,6828,1058,2,2022-04-10,2634,3448,TRUE,FALSE
249,9088,2902,2,2020-05-26,6901,8383,TRUE,FALSE
18,3026,4813,5,2021-12-21,9903,10837,TRUE,FALSE
22,3211,3428,4,2021-12-05,4023,6295,TRUE,FALSE
67,5894,8905,6,2021-10-31,4238,5271,FALSE,FALSE
107,5162,1992,6,2021-12-04,5460,7545,TRUE,FALSE
176,8568,7472,2,2021-11-23,8055,12754,FALSE,FALSE
193,6246,9932,2,2021-11-15,4110,5003,FALSE,FALSE
30,6227,8851,3,2021-12-27,7996,11272,TRUE,FALSE
29,3155,2436,4,2021-05-29,5342,7212,FALSE,FALSE
48,5142,4166,7,2021-07-03,1438,1945,FALSE,FALSE
149,8464,1408,5,2021-03-24,9770,14194,TRUE,FALSE
109,8696,1216,6,2021-09-24,1934,2892,TRUE,FALSE
163,3947,4502,5,2021-03-27,1043,1445,FALSE,FALSE
195,7209,1864,5,2021-07-04,3961,5282,TRUE,FALSE
182,5334,8317,2,2021-10-06,6303,7599,FALSE,FALSE
205,147,499,6,2021-05-29,5959,9305,FALSE,FALSE
25,4725,318,6,2021-12-12,6271,9736,TRUE,FALSE
52,224,2009,4,2019-03-02,5394,5918,TRUE,FALSE
120,6402,92,2,2019-10-14,6410,9087,TRUE,TRUE
156,1803,2126,7,2019-04-22,8046,9781,FALSE,FALSE
6,6738,4410,6,2019-12-21,1391,1740,TRUE,FALSE
68,3586,5767,5,2019-12-04,6793,8824,FALSE,FALSE
175,9435,2067,4,2019-12-08,7149,9925,TRUE,TRUE
186,3275,6822,3,2019-12-07,1502,1808,FALSE,TRUE
212,4851,1865,2,2019-11-10,7536,8502,TRUE,FALSE
50,7485,7046,3,2019-09-17,3110,4672,FALSE,FALSE
112,8807,8133,5,2022-06-11,2138,2818,TRUE,FALSE
206,5585,8039,4,2022-03-05,4368,4739,TRUE,FALSE
222,9037,7804,7,2022-05-01,4708,7471,FALSE,FALSE
251,9219,1762,2,2022-02-11,6451,8418,TRUE,FALSE
189,6723,5829,6,2022-09-12,5222,6687,FALSE,FALSE
35,895,272,6,2023-09-09,6101,9036,TRUE,TRUE
71,7090,7601,2,2023-08-12,7704,9108,FALSE,FALSE
150,7884,2352,6,2023-09-14,259,414,TRUE,FALSE
26,5024,8471,1,2023-02-26,4261,5872,TRUE,FALSE
114,6976,2345,1,2023-10-31,9485,11735,FALSE,FALSE
199,7417,6020,4,2023-07-22,7674,8732,TRUE,FALSE
145,793,3597,4,2022-01-16,352,531,FALSE,FALSE
164,6660,3694,4,2022-09-21,5918,9421,FALSE,TRUE
229,5067,4359,2,2022-02-26,8610,10449,TRUE,TRUE
248,5244,4425,7,2022-07-04,9836,12532,TRUE,FALSE
254,3054,9687,7,2022-08-04,1837,2606,TRUE,TRUE
216,7982,8273,6,2022-12-24,7539,8034,TRUE,FALSE
244,1236,2711,2,2022-07-31,5714,6877,TRUE,FALSE
77,4975,9997,6,2019-02-15,980,1547,TRUE,FALSE
247,3452,4655,3,2019-09-10,7267,7739,TRUE,FALSE
72,7351,9439,3,2019-05-25,4863,5348,FALSE,FALSE
143,3811,4829,1,2020-01-06,3600,5013,FALSE,FALSE
192,423,2560,7,2020-09-12,3680,4016,FALSE,FALSE
224,7582,1829,6,2020-10-19,3855,4351,FALSE,TRUE
74,5210,3457,2,2020-11-13,5643,7191,FALSE,FALSE
80,8624,2244,7,2020-12-16,8908,13135,TRUE,FALSE
111,4824,7133,6,2020-12-05,3411,4401,FALSE,FALSE
37,1337,7657,2,2020-11-19,131,158,TRUE,FALSE
49,8139,7638,5,2020-07-01,5632,6837,FALSE,FALSE
141,6227,4629,7,2020-11-07,3681,5630,TRUE,FALSE
258,1428,3126,7,2023-05-01,354,437,TRUE,FALSE
259,2890,4528,4,2021-07-13,3583,4270,FALSE,FALSE
260,8190,1035,6,2019-12-24,4095,5318,TRUE,FALSE
261,2665,9641,7,2023-03-24,7074,10254,FALSE,FALSE
264,2361,7573,7,2023-10-16,7455,9885,FALSE,FALSE
265,6883,3094,1,2021-04-28,2005,2483,TRUE,FALSE
268,6806,5323,7,2021-05-02,552,662,FALSE,FALSE
269,6861,9769,4,2020-11-12,6486,7455,TRUE,FALSE
270,7594,2489,5,2019-11-17,9542,12600,FALSE,TRUE
273,9286,4556,6,2019-11-12,9198,12826,TRUE,FALSE
274,5223,6053,7,2021-04-09,5273,7335,FALSE,TRUE
275,6037,1992,2,2019-08-03,2910,4068,TRUE,FALSE
276,9918,4182,5,2023-04-26,8127,9008,FALSE,FALSE
278,1239,6886,1,2021-05-11,994,1417,TRUE,FALSE
281,7516,3586,3,2019-01-22,9851,14334,FALSE,FALSE
282,7923,9501,6,2021-10-11,8918,12337,TRUE,TRUE
283,2721,1942,5,2021-06-05,972,1497,TRUE,TRUE
285,9845,4096,6,2023-03-19,2791,3801,FALSE,FALSE
286,1215,8882,7,2023-03-29,2640,3276,TRUE,FALSE
287,8410,8610,7,2023-10-02,7578,10512,TRUE,FALSE
288,4589,7194,7,2022-09-08,9248,10410,TRUE,FALSE
289,3610,8781,2,2021-07-25,3743,4284,TRUE,FALSE
290,9949,2993,3,2023-03-14,7772,10440,FALSE,FALSE
292,7497,475,3,2021-03-10,8641,13603,FALSE,FALSE
293,4733,1209,3,2019-03-22,6473,8714,TRUE,FALSE
295,3429,780,2,2020-05-12,4610,6697,TRUE,FALSE
297,3287,2412,1,2022-06-19,7982,9676,FALSE,FALSE
298,2725,6714,6,2022-03-05,2409,2949,TRUE,FALSE
299,4160,6509,3,2020-10-03,2030,2276,TRUE,TRUE
300,801,604,2,2023-10-09,7770,10822,FALSE,TRUE
301,8427,2566,5,2023-02-14,4887,7173,FALSE,FALSE
302,6926,174,2,2023-03-11,7306,9717,TRUE,FALSE
303,8410,8671,5,2022-10-01,2591,3199,TRUE,TRUE
304,8288,5194,6,2020-02-21,9216,12957,FALSE,TRUE
305,9315,2274,1,2022-06-22,8589,10327,TRUE,FALSE
306,9348,1640,6,2022-04-13,4397,6324,TRUE,FALSE
307,1257,3410,7,2023-08-29,4790,5353,FALSE,FALSE
308,6572,3301,4,2023-01-12,7320,7950,TRUE,FALSE
310,8220,3347,6,2019-05-28,7910,12166,FALSE,TRUE
311,9747,2160,7,2019-12-27,1907,2462,TRUE,FALSE
312,5059,1074,3,2019-01-27,8608,9823,TRUE,FALSE
314,7742,5203,5,2021-01-24,5344,8314,FALSE,FALSE
315,430,4376,1,2020-06-17,9059,12177,TRUE,FALSE
316,8155,6972,6,2020-11-18,6766,7651,FALSE,FALSE
317,1870,9501,4,2019-08-01,4265,5844,TRUE,FALSE
318,3470,281,3,2023-10-30,8347,9744,TRUE,FALSE
319,2433,6955,5,2019-08-19,3738,4723,TRUE,FALSE
323,3926,1818,1,2023-09-03,3502,5018,TRUE,FALSE
324,6999,2078,7,2022-08-08,4098,6422,FALSE,FALSE
326,3065,5114,1,2022-07-08,3188,4405,TRUE,FALSE
330,458,5144,4,2023-03-03,2884,3138,TRUE,FALSE
331,5825,7044,7,2020-03-24,9341,12587,TRUE,FALSE
333,5238,3572,3,2020-05-06,3940,6285,FALSE,FALSE
334,6164,8169,3,2019-08-07,5424,8384,TRUE,TRUE
335,815,1947,6,2020-04-18,8947,11694,TRUE,FALSE
336,1592,8865,3,2020-12-01,3693,4787,TRUE,TRUE
338,805,3700,2,2022-06-13,7351,8524,TRUE,FALSE
340,896,4293,1,2022-02-10,3349,3974,FALSE,FALSE
342,5276,8962,2,2020-01-25,9950,12079,TRUE,FALSE
343,3737,8436,6,2023-10-26,2439,3041,FALSE,FALSE
344,1638,9125,1,2022-06-07,9863,13120,TRUE,FALSE
346,2013,9284,6,2019-11-22,2831,3255,TRUE,TRUE
347,8694,833,3,2022-09-27,731,993,TRUE,FALSE
349,4697,6053,4,2023-08-06,5358,6693,TRUE,TRUE
352,2204,256,2,2019-01-26,1879,2313,FALSE,TRUE
353,6777,5471,3,2019-09-10,5689,8072,TRUE,FALSE
354,1096,6203,5,2020-06-18,4333,6419,FALSE,FALSE
355,5912,1518,7,2021-07-03,5565,8684,TRUE,FALSE
356,663,5558,3,2021-05-24,3818,4062,TRUE,TRUE
358,2497,9131,3,2023-09-06,105,112,TRUE,TRUE
359,1985,7978,4,2022-01-18,7530,8744,FALSE,FALSE
360,4743,8895,3,2020-01-03,4749,6203,TRUE,FALSE
362,1125,6911,4,2022-04-22,385,479,FALSE,FALSE
365,3012,6583,1,2020-11-01,480,602,FALSE,FALSE
367,7933,232,1,2022-05-13,3676,4334,TRUE,FALSE
368,625,7531,7,2023-08-29,9961,15672,TRUE,FALSE
369,7701,8380,5,2022-03-16,6168,8355,FALSE,TRUE
370,499,6678,3,2022-11-16,8967,9627,TRUE,FALSE
372,846,109,5,2022-01-27,3505,4811,TRUE,FALSE
373,1445,2181,4,2020-01-01,6734,8417,TRUE,TRUE
374,3862,7704,1,2021-01-04,7749,11402,FALSE,FALSE
375,4383,9798,1,2022-09-12,1128,1296,TRUE,TRUE
377,6203,475,2,2019-01-19,8414,12114,TRUE,FALSE
378,4417,9966,6,2022-02-02,4457,5963,TRUE,FALSE
379,4121,5427,6,2019-08-17,1372,1902,TRUE,FALSE
380,7114,4706,2,2020-12-28,3238,4747,FALSE,FALSE
382,5465,6043,3,2020-09-14,1243,1702,TRUE,TRUE
383,7369,2465,5,2022-10-02,3096,3446,FALSE,FALSE
384,5660,255,1,2019-03-23,4377,5541,TRUE,FALSE
385,6241,9732,4,2023-07-24,6428,7187,FALSE,FALSE
386,3674,5071,1,2021-12-07,7291,11450,FALSE,FALSE
388,7401,506,2,2019-01-26,7232,9957,TRUE,FALSE
389,1921,1601,6,2019-05-08,8566,9211,TRUE,FALSE
391,2892,168,3,2022-02-12,3220,3390,FALSE,TRUE
392,6447,6876,6,2023-08-08,6116,8544,TRUE,FALSE
394,9212,4877,6,2019-11-04,7434,9205,FALSE,FALSE
395,247,2741,6,2020-02-23,9709,14689,TRUE,TRUE
396,867,9125,7,2023-10-10,7625,11584,FALSE,TRUE
397,7882,5624,7,2020-10-24,9382,11040,TRUE,TRUE
398,280,8383,6,2019-12-07,7401,9169,FALSE,FALSE
400,5749,7969,1,2020-08-07,8420,12210,TRUE,TRUE
402,1475,1346,3,2023-02-19,367,574,TRUE,FALSE
403,5583,3048,7,2023-01-05,2620,3261,TRUE,FALSE
408,4540,8701,1,2019-08-05,4347,5383,TRUE,FALSE
409,7054,4164,5,2022-10-01,8815,11617,TRUE,TRUE
410,7383,6248,4,2021-10-13,2767,4317,FALSE,FALSE
411,7847,6642,6,2022-11-18,5985,9190,FALSE,FALSE
412,1537,4837,2,2022-04-06,1499,2305,TRUE,FALSE
413,600,1798,7,2019-01-14,5144,7415,FALSE,TRUE
414,3509,9190,3,2023-09-17,1716,1963,FALSE,FALSE
415,2287,8460,4,2020-01-13,4280,5895,TRUE,TRUE
416,1978,4611,3,2022-08-12,5646,6911,FALSE,FALSE
417,4290,3691,7,2019-12-06,8985,14148,TRUE,FALSE
418,7781,5020,4,2019-09-10,4193,6524,TRUE,FALSE
420,7761,5796,1,2019-07-25,2954,4596,TRUE,FALSE
422,4885,5293,3,2023-10-11,767,968,TRUE,FALSE
423,1043,3124,4,2022-03-19,2532,3647,TRUE,TRUE
427,3161,2792,7,2019-06-09,7205,7568,FALSE,FALSE
428,5144,4652,3,2022-10-17,4088,5789,FALSE,FALSE
429,1424,5228,6,2021-08-09,6156,9585,FALSE,FALSE
430,9001,3494,6,2020-11-25,2390,2751,TRUE,TRUE
431,7102,1422,2,2021-09-27,4321,4997,TRUE,FALSE
432,8361,8344,3,2023-03-23,453,688,TRUE,FALSE
433,2010,822,1,2021-12-30,1595,2378,FALSE,TRUE
434,2137,7940,6,2022-04-13,1594,2545,TRUE,FALSE
435,6921,7045,6,2020-12-03,6751,7634,TRUE,TRUE
437,4036,283,7,2022-12-29,3704,5818,FALSE,FALSE
438,9776,3542,2,2023-03-03,2614,3526,TRUE,FALSE
439,4199,8577,7,2021-01-10,4637,6566,TRUE,FALSE
441,3770,382,7,2023-09-13,4259,6374,FALSE,FALSE
442,3233,6870,1,2020-07-16,9940,14528,TRUE,FALSE
443,9978,9688,2,2022-05-08,8616,12456,FALSE,TRUE
445,4048,1047,4,2020-10-01,4085,4911,TRUE,FALSE
448,9984,2550,2,2019-03-17,101,150,FALSE,TRUE
449,8932,4195,7,2022-02-19,6063,9293,FALSE,FALSE
451,7993,3688,1,2019-10-27,9761,14031,TRUE,FALSE
452,9200,9996,5,2019-09-06,8012,8991,FALSE,FALSE
453,3344,7186,1,2019-09-11,8201,9423,TRUE,FALSE
455,7903,3629,4,2023-04-14,7309,10350,FALSE,FALSE
461,460,7612,5,2020-05-15,8171,9856,FALSE,FALSE
462,4349,7313,5,2022-03-26,5199,6233,TRUE,FALSE
463,3974,5742,3,2022-07-16,2848,4407,TRUE,FALSE
464,9041,8856,5,2020-07-23,7950,11531,TRUE,TRUE
466,3245,560,6,2019-12-13,6804,7431,TRUE,TRUE
468,5117,8932,2,2019-06-29,7325,8430,TRUE,FALSE
470,1730,1071,5,2023-08-24,5547,7552,TRUE,FALSE
472,9347,6292,6,2019-03-12,6750,8723,TRUE,FALSE
473,9798,6225,7,2020-04-03,9930,15656,FALSE,TRUE
475,7174,6394,6,2022-06-18,7104,8504,TRUE,FALSE
476,4991,9279,3,2020-05-17,2222,3354,FALSE,FALSE
478,9550,5014,7,2022-06-06,4231,4716,TRUE,FALSE
479,6651,8708,1,2022-05-04,2733,3778,TRUE,TRUE
480,4768,2088,6,2019-01-09,3021,4232,TRUE,FALSE
481,5378,9471,4,2023-08-01,6827,8468,FALSE,FALSE
482,2194,2155,7,2021-10-12,843,1202,FALSE,FALSE
483,5914,717,2,2020-09-13,7520,12002,TRUE,FALSE
484,4821,4870,4,2021-06-14,7281,11089,TRUE,FALSE
485,3000,8048,6,2023-04-29,7459,9933,FALSE,FALSE
486,9377,8996,7,2023-02-22,7580,10628,TRUE,FALSE
488,4983,35,7,2022-02-27,2066,2785,TRUE,FALSE
489,8827,6989,6,2019-06-20,8553,13031,TRUE,FALSE
490,8879,4866,1,2020-07-15,2730,3011,FALSE,FALSE
491,2169,7793,1,2020-10-15,8876,10606,FALSE,TRUE
493,7534,7224,5,2023-02-23,2375,3021,TRUE,FALSE
495,4204,3728,1,2019-04-15,8876,12857,TRUE,FALSE
496,6302,6232,4,2022-10-09,5388,6314,FALSE,TRUE
