,Fatal,Date,Location,Carrier,Flight,Type
53,170,08/22/2006,"Donetsk, Ukraine",Pulkovo Airlines,SP612,Tu-154M
54,169,01/30/2000,"Off Abidjan, Ivory        Coast",Kenya Airways,431,A310-304
55,168,07/15/2009,"Qazvin, Iran",Caspian Airlines,RV7908,Tu-154M
56,167,09/28/1992,"Bhadagon, Katmandu, Nepal",Pakistan Inter. Airlines,268,A300
,167,03/31/1986,"Maravatio, Mexico",Mexicana,940,B727
58,166,07/08/1980,"Nar Alma-Ata, Kasakastan, USSR",Aeroflot,4225,TU154B
59,163,07/30/1971,"Morioko, Japan",All Nippon / Japanese AF,58,B727 / F86F
60,162,12/28/2014,Java Sea,AirAsia,8501,A320
61,160,08/16/2005,"La Cucharita, Venezuela",West Carribean Airlines,708,MD-82
-,160,12/20/1995,"Buga, Columbia",American Airlines,965,B757
-,160,06/06/1994,"Xi'an, China",China Northwest Airlines,2303,TU154M
64,159,11/28/1987,"Off Mauritius, Indian Ocean",South Africian Airways,295,B747
-,159,06/03/2012,"Lagos, Nigeria",Dana Air,992,MD-80
66,158,05/22/2010,"Mangalore, India",Air India Express,812,B737
67,157,03/10/2019,"Bishoftu, Ethiopia",Ethiopian Airlines,301,B737
-,157,12/22/1992,"Tripoli, Libya",Libya Arab Airlines / Lib AF,1103/-,B727
68,156,08/16/1987,"Romulus, Michigan",Northwest Airlines,255,MD82
-,156,08/14/1972,"KKönigs       Wusterhausen, E. Germany",Interflug,-,IL62
-,156,11/26/1979,"Jeddah, Saudi Arabia",Pakistan Inter. Airlines,740,B707
71,155,12/03/1972,"Tenerife, Canary Islands",Spantax,-,Convair 990
-,155,04/04/1975,"Siagon, Vietnam",U.S. Air Force,-,C-5 Gallaxy
72,154,03/16/1969,"Maracaibo, Venezuela",Venezolana Inter. de Av.,742,DC9
-,154,09/19/1976,"Karatepe Mountains, Turkey",Turkish Airlines,452,B727
-,154,09/29/2006,"Sao Felix do Araguaia,Brazil",Gol Airlines,1907,B-737
-,154,08/20/2008,"Madrid, Spain",Spanair,5022,MD-82
76,153,08/20/2008,"Madrid, Spain",Spanair,5022,MD-82
77,152,06/30/2009,"Mitsamiouli, Comoros",Yemenia,626,A310
-,152,07/28/2010,"Islamabad, Pakistan",Airblue,202,A321
79,150,03/24/2015,"Near Digne-Les-Bains, France",Germanwings,9525,A320
80,149,05/04/2002,"Kano, Nigeria",EAS Airlines,4226,BAC-111
81,148,02/19/1985,"Mt. Oiz, Spain",Iberia Airlines,610,B727
-,148,01/03/2004,"Off Sharm el       Sheikh-Ophira, Egypt",Flash Air,604,B737
83,146,04/25/1980,"Tenerife, Canary Islands",Dan Air,1008,B727
84,145,07/04/2001,"Irkutsk, Russia",Vladivostokavia,352,TU154
85,144,02/08/1989,"Santa Maria, Azores",Independent Air Inc,1851,B707
-,144,09/25/1978,"San Diego, California",Pacific Southwest/Private,182,B727 /C172
86,143,11/07/1996,"Lagos, Nigeria",Aviation Devel. Corp.,086,B727
-,143,03/17/1988,"Cucuta, Colombia",Avianca,410,B727
-,143,08/23/2000,"Off Manama,        Behrain",Gulf Air,072,A320
-,143,09/05/2005,"Medan, Indonesia",Mandala Airlines,091,B737
90,141,08/29/1996,"Spitsbergen, Norway",Vnokovo Airlines,2801,TU154
-,141,12/18/1995,"Kahengula, Angola",Trans Service Airlift,-,L188C
-,141,11/24/1992,"Liutang, Guangxi, China",China Southern Airlines,3943,B737
93,140,12/25/2003,"Cotonou, Benin",UTA,141,B727
94,137,06/08/1982,"Near Pacatuba,       Brazil",VASP,168,B727
95,135,08/02/1985,"Ft. Worth-Dallas,       Texas",Delta Air Lines,191,L1011
96,134,12/16/1960,"Staten       Island/Brooklyn, New York",United Air Lines /       TWA,826/266,DC8 / L1049
97,133,02/04/1966,"Tokyo Bay, Japan",All Nippon Airways,60,B727
-,133,02/08/1993,"Tehran, Iran",Iran Air/Air Force,-,TU154M
99,132,03/21/2022,China Eastern Airlines,"Wuzhou, Guangxi, China",MU 5735,B737
100,131,04/19/2000,Air Philippines,"Samal Island, Philippines",541,B737
-,131,11/19/1977,TAP (Air Portugal),"Madeira, Portugal",425,B727
