Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard
1920,Qtr 3,September,15,Ohio,Junkers,Junkers F 13308,Pemberville Ohio,Service Mail Aerial US,0,2,2
1920,Qtr 3,September,27,Pennsylvania,De Havilland,De Havilland DH 4316,Hillersburg Pennsylvania,Service Mail Aerial US,0,1,1
1920,Qtr 4,October,2,France,Salmson,Salmson 2 A,Off Port Vendres France,Airlines Latecoere,0,2,2
1920,Qtr 4,October,5,Spain,Breguet,Breguet 14F ALTA,Valencia Spain,Airlines Latecoere,0,2,2
1920,Qtr 4,October,15,Illinois,De Havilland,De Havilland DH 476,Batavia Illinois,Service Mail Aerial US,0,1,1
1920,Qtr 4,November,7,Wyoming,De Havilland,De Havilland DH 4?,Tie Siding Wyoming,Service Mail Aerial US,0,1,1
1920,Qtr 4,December,14,England,Handley Page,Handley Page HP 16G,London England,Transport Page Handley,0,4,8
1920,Qtr 4,December,24,Spain,Breguet,Breguet 14F ALBO,Barcelona Spain,Aeropostale,0,1,1
1921,Qtr 1,February,3,Minnisota,De Havilland,De Havilland DH 4130,Mendotta Minnisota,Service Mail Aerial US,0,1,1
1921,Qtr 1,February,9,Wisconsin,Junkers,Junkers F 13301,La Crosse Wisconsin,Service Mail Aerial US,0,3,3
1921,Qtr 1,February,15,N/A,Breguet,Breguet 14F ALBA,Off GibraltarAeropostale,N/A,0,2,2
1921,Qtr 1,February,22,Nevada,De Havilland,De Havilland DH 467,Elko Nevada,Service Mail Aerial US,0,1,1
1921,Qtr 2,April,6,Australia,Avro,Avro 504H3021,Point Cook Australia,Force Air Australian Royal - Military,0,2,2
1921,Qtr 2,April,21,NYUS,De Havilland,De Havilland DH 4160,Mitchel Field NYUS,Service Mail Aerial,0,1,1
1921,Qtr 2,April,29,Ohio,De Havilland,De Havilland DH 4196,Cleveland Ohio,Service Mail Aerial US,0,1,1
1921,Qtr 2,May,17,Wyoming,De Havilland,"De Havilland DH 4
De Havilland DH",Rock Springs Wyoming,Service Mail Aerial US,0,1,1
1921,Qtr 3,August,14,France,Breguet,Breguet 14F ALBI,Toulouse France,Aeropostale,0,2,2
1921,Qtr 3,August,24,England,Royal Airship Works,Royal Airship Works ZR 2 (airship)R,River Humber England,Works Airship Royal - Military,1,43,49
1921,Qtr 3,September,6,France,Potez,Potez IXF ADCD,Paris France,Franco-Roumaine,0,5,5
1921,Qtr 4,December,5,Australia,Bristol 28,Bristol 28 TourerG AUDI,Near Murchinson River Australia,Airways Australian West,0,2,2
1922,Qtr 1,January,14,France,Handley Page,Handley Page O/10G EATN,Paris France,Transport Page Handley,5,5,5
1922,Qtr 1,February,21,Virginia,Dirigible Roma,Dirigible Roma (airship)?,Near Norfolk Virginia,Service Air Army U.S. - Military,0,34,45
1922,Qtr 1,March,22,N/A,Aeromarine Model 85 (flying,Aeromarine Model 85 (flying boat)?,North Atlantic OceanAero Limited,N/A,0,5,6
1922,Qtr 2,April,7,France,De Havilland,de Havilland DH 18 / Farman F,Grandvilliers France,Aeriens Express Grands / Airways Daimler,0,7,7
1922,Qtr 2,April,8,China?,??,??,Pao Ting Fou China?,N/A,0,17,17
1922,Qtr 2,June,3,Kent,Bleriot Spad,Bleriot Spad 27F ACMH,Off Folkestone Kent,England Cie des Messageries Aeriennes,0,3,3
1922,Qtr 3,July,4,Germany?,LVG C,LVG C VI?,Fuhlsbuttel Germany?,N/A,0,2,3
1922,Qtr 3,July,16,Lorraine,Potez,Potez 29F FREI,Near Saverne Lorraine,France Compagnie Franco-Roumaine de Navigaation Aerienne,0,5,5
1922,Qtr 3,July,26,Spain,Breguet,Breguet 14F ALVE,Cadix Spain,Aeriens Express Grands,0,3,3
1922,Qtr 3,September,7,Indiana,De Havilland,De Havilland DH 4227,Indianapolis Indiana,Service Mail Aerial US,0,1,1
1922,Qtr 4,October,2,Italyde,De Havilland,de Havilland DH 9G,Venice Italyde,Service Air Havilland,0,4,4
1922,Qtr 4,October,25,Morocco,Breguet,Breguet 14?,Larache Morocco,Aeriens Express Grands,0,2,2
1922,Qtr 4,December,3,Morocco,Breguet,Breguet 14F ALNA,Fez Morocco,Aeriens Express Grands,0,1,1
1923,Qtr 1,January,10,France,Lioré,Lioré  et,Ajaccio France,l'Air de Amee,0,3,4
1923,Qtr 1,January,17,Spain,Breguet,Breguet 14F ALJU,Barcelona Spain,Aeriens Express Grands,0,1,1
1923,Qtr 1,January,18,Wyoming,De Havilland,De Havilland DH 4223,Cheyenne Wyoming,Service Mail Aerial US,0,1,1
1923,Qtr 1,February,26,Pennsylvania,De Havilland,De Havilland DH 4291,Meadville Pennsylvania,Service Mail Aerial US,0,1,1
1923,Qtr 2,May,14,Picrdie,Farman,Farman F 60 GoliathF,Near Amiens Picrdie,France Grands Express Aeriens (Air Union),0,6,6
1923,Qtr 3,August,27,Romania,Blériot Spad,Blériot Spad 46F AEGN,Bucharest Romania,Roumaine France Campagnie,0,2,2
1923,Qtr 3,August,27,United,Farman F.60,Farman F.60 GoliathF AECB,East Mallling United,Union KingdomAir,0,1,11
1923,Qtr 3,September,7,Ohio,De Havilland,De Havilland DH 4283,Colton Ohio,Service Mail Aerial US,0,1,1
1923,Qtr 3,September,14,Buckinghamshire,De Havilland,de Havilland DH 34G,Near Ivinghoe Buckinghamshire,England Daimler Airways,0,5,5
1923,Qtr 4,November,18,N/A,Junkers,Junkers F 13D,RussiaCCCP,N/A,0,3,5
1923,Qtr 4,December,6,Ohio,De Havilland,De Havilland DH 4318,Castalia Ohio,Service Mail Aerial US,0,1,1
1923,Qtr 4,December,23,N/A,Zeppelin Dixmunde,Zeppelin Dixmunde (airship)L 72,Over the Mediterranean SeaMilitary - French Navy,N/A,0,52,52
1923,Qtr 4,December,24,WYUS,De Havilland,De Havilland DH 4315,Egbert WYUS,Service Mail Aerial,0,1,1
1924,Qtr 1,March,7,Pennsylvania,De Havilland,De Havilland DH 4327,Grampian Pennsylvania,Service Mail Aerial US,0,1,1
1924,Qtr 2,April,24,N/A,Fokker,Fokker F.IIIH NABS,Over the English ChannelKLM Royal Dutch Airlines,N/A,0,3,3
1924,Qtr 2,June,8,Colombia,Junkers,Junkers F 13A16,Barranquilla Colombia,SCADTA,0,5,5
1924,Qtr 3,August,1,N/A,De Havilland,De Havilland DH 4297,United StatesUS Aerial Mail Service,N/A,0,1,1
1924,Qtr 4,November,6,France,Breguet,Breguet 14F AFBD,Cabrerolles France,Aeriens Express Grands,0,1,1
1924,Qtr 4,December,21,Indiana,De Havilland,De Havilland DH 4311,Goshen Indiana,Service Mail Aerial US,0,1,1
1924,Qtr 4,December,24,England,De Havilland,de Havilland DH 34BG,Purley England,Airways Imperial,0,8,8
1925,Qtr 1,March,22,Georgia,Junkers,Junkers F 13R,Near Tiflis Georgia,USSRZakavia,0,5,5
1925,Qtr 2,April,25,Spain,Breguet,Breguet 14F AFBB,Alicante Spain,Aeriens Express Grands,0,3,3
1925,Qtr 2,June,25,France,Fokker (KLM),Fokker (KLM)  F.IIIH NABM,Landrécies France,Airlines Dutch Royal KLM,0,4,4
1925,Qtr 2,June,26,Spain,Lioré,Lioré  et,Alicante Spain,Aeriens Express Grands,0,2,2
1925,Qtr 3,July,20,Spain,Breguet,Breguet 14F AFBI,Rosas Spain,Latecoere Aeriennes Lignes,0,1,1
1925,Qtr 3,July,24,Hungary,Potez,Potez IX?,Budapest Hungary,CIDNA,0,1,1
1925,Qtr 3,September,3,Ohio,Dirigible,Dirigible ZR 1 Shenandoah (airship)ZR,Caldwell Ohio,Navy U.S. - Military,0,14,43
1925,Qtr 3,September,7,France,Spad,Spad 33?,Toul France,CIDNA,0,0,0
1925,Qtr 4,October,1,Ohio,De Havilland,De Havilland DH 4385,Mt. Nittany Ohio,Service Mail Aerial US,0,1,1
1925,Qtr 4,November,14,France,Farman,Farman F 60 GoliathF,Off Boulogne-sur-Mer France,Union Air,0,2,2
1925,Qtr 4,November,14,Mauritania,Breguet,Breguet 14F AEGZ,Nouadhibou Mauritania,Latecoere Aeriennes Lignes,0,1,1
1926,Qtr 1,February,12,Ohio,Curtiss Carrier,Curtiss Carrier Pigeon602,Montpelier Ohio,Service Mail Aerial US,0,1,1
1926,Qtr 1,March,8,Germany,Junkers,Junkers F 13D,Staaken Germany,Lufthansa Deutche,0,1,1
1926,Qtr 2,May,31,N/A,Breguet,Breguet 14F ADAI,English ChannelAir Union,N/A,0,1,1
1926,Qtr 3,July,3,Czechoslovakia,Caudron,Caudron C 61F,Rossaugpt Czechoslovakia,Aérienne Navigation de Internationale Compagnie,0,6,6
1926,Qtr 3,July,9,Belgium,Fokker,Fokker F7H NACC,Wolvertem Belgium,Airlines Dutch Royal KLM,0,2,2
1926,Qtr 3,July,24,Germany,Junkers,Junkers F 13D,Juist Germany,Lufthansa Deutsche,0,5,5
1926,Qtr 3,August,18,Kent,Bleriot,Bleriot 155F AIEB,Hurst Kent,England Air Union,0,3,15
1926,Qtr 3,September,26,New,Sikorsky,Sikorsky S 25?,New York New,York?,0,2,5
1926,Qtr 4,October,2,Kent,Bleriot,Bleriot 155F  AICQ,Leigh Kent,Unied Kingdom Air Union,0,7,7
1926,Qtr 4,October,8,Germany,Fokker FG,Fokker FG IIID 468,Bueren Germany,Lufthansa Deutsche,0,4,4
1926,Qtr 4,October,21,N/A,Handley Page,Handley Page W 10G,English ChannelImperial Airways,N/A,0,0,12
1926,Qtr 4,November,11,Morocco,Breguet,Breguet 14F AFAX,Cape Bojador Morocco,Aeriens Express Grands,0,3,3
1926,Qtr 4,December,16,Oregon,Ryan,Ryan M 12,Medford Oregon,Transport Air Pacific,0,1,1
1927,Qtr 1,January,12,France,Fokker,Fokker F VIIG,Estaires France,Fokker,0,0,0
1927,Qtr 1,March,20,Morocco,Breguet,Breguet 14F ALRA,Rabat Morocco,Aeriens Express Grands,0,1,1
1927,Qtr 1,March,24,Qld,De Havilland,de Havilland DH 9CG,Tambo Qld,Australia Qantas,0,3,3
1927,Qtr 2,April,15,Idaho,"Swallow
Swallow?","Swallow
Swallow?",King Hill Idaho,Lines Air Varney,0,1,1
1927,Qtr 2,April,22,Germany,Fokker FG,Fokker FG IIID 729,Floh Germany,Lufthansa Deutsche,0,2,2
1927,Qtr 2,April,22,Indiana,Douglas,Douglas M 4626,Goshen Indiana,Service Mail Aerial US,0,1,1
1927,Qtr 2,May,2,Algeria,SPCA Meteore,SPCA Meteore 63F AIFN,Algiers Algeria,Union Air,0,1,3
1927,Qtr 3,July,27,Germany,Junkers,Junkers F 13D,Amoneburg Germany,Lufthansa Deutsche,0,5,5
1927,Qtr 3,August,22,England,Fokker,Fokker F VIIIH,Sevenoaks England,Airlines Dutch Royal KLM,0,1,11
1927,Qtr 3,September,3,Connecticut,Fokker UniversalNC52,"Fokker UniversalNC52  	
NC52",Willington Connecticut,Transport Air Colonial,0,1,1
1927,Qtr 3,September,17,N/A,Fokker,Fokker F7NX703,Atlantic OceanPrivate,N/A,0,3,3
1927,Qtr 3,September,17,New,Fokker,Fokker F VIINC776,Hadley New,Airways JerseyReynolds,0,7,12
1927,Qtr 3,September,23,Germany,Dornier,Dornier MerkurD 585,Schleiz Germany,Lufthansa Deutsche,0,6,6
1927,Qtr 4,October,6,Mauritania,Breguet,Breguet 14F AGBN,Thies Mauritania,Latecoere Aeriennes Lignes,0,2,2
1927,Qtr 4,October,30,New,Fairchild,Fairchild FC 2?,New Brunswick New,Transport Air JerseyColonial,0,4,4
1927,Qtr 4,November,8,France,Farman,Farman F 121 JabiruF,Strasburg France,CIDNA,0,1,1
1927,Qtr 4,November,16,N/A,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,N/A,0,6,6
1927,Qtr 4,November,29,Indiana,Douglas,"Douglas M 4NC62  	
NC1062",Corunna Indiana,Transport Air National,0,1,1
1927,Qtr 4,December,28,Spain,Breguet,Breguet 14F AFGS,Almeria Spain,Aeropostale,0,1,1
1927,Qtr 4,December,31,Airlines,Latécoère 23 (flying,Latécoère 23 (flying boat)F AIHP,Near Marseille Airlines,N/A,0,5,5
1928,Qtr 1,January,8,New,Fairchild,Fairchild FC 2NC3780,Near Canajoharie New,Airlines Western YorkColonial,0,3,3
1928,Qtr 1,January,16,Uruguay,Latecoere,Latecoere 25F AIKG,Solis Uruguay,Aeropostale,0,2,2
1928,Qtr 1,January,22,Ariège,Breguet 14,"Breguet 14
 F AHEQ",L'Hospitalet Ariège,Aeropostale,0,1,1
1928,Qtr 1,January,22,Spain,Breguet,Breguet 14F AHEQ,Tarragona Spain,Aeropostale,0,2,2
1928,Qtr 1,January,27,Spain,Breguet,Breguet 14F AFHN,Almeria Spain,Aeropostale,0,1,1
1928,Qtr 1,February,26,Nebraska,Boeing,Boeing 40NC280,Marquette Nebraska,Transport Air Boeing,0,1,2
1928,Qtr 1,March,11,France,Farman,Farman F 60 GoliathF,Off Cape Griz Nez France,Union Air,0,2,2
1928,Qtr 2,April,17,Wyoming,Boeing,"Boeing 40NC282
NC282",Federal Wyoming,Transport Air Boeing,0,1,2
1928,Qtr 2,April,19,Spain,Rohrbach,Rohrbach RolandM CCCC,Minuesa Spain,Airlines Iberia,0,9,9
1928,Qtr 2,May,7,"Brazil
Florianopolis",Latecoere,Latecoere 26F AIMQ,"Florianopolis Brazil
Florianopolis",BrazilFlorianopolis,0,1,5
1928,Qtr 2,May,12,Minnesota,Ford,Ford 4NC1492,Dearborn Minnesota,Inc. Freight Air Ford,0,2,2
1928,Qtr 2,May,26,Germany,Junkers,Junkers F 13D,Radevormwald Germany,Lufthansa Deutsche,0,3,5
1928,Qtr 2,June,14,Germany,AEGKD,AEGKD  74,Frankfurt Germany,Lufthansa Deutsche,0,5,5
1928,Qtr 2,June,22,Kansas,Douglas,Douglas M 4NC1059,Lebo Kansas,Transport Air National,0,1,1
1928,Qtr 3,July,10,N/A,Junkers,Junkers F 13K,Over the Gulf of FinlandAero O-Y,N/A,0,6,6
1928,Qtr 3,July,13,England,Vickers 74,Vickers 74 VulcanG EBLB,Purley England,Airways Imperial,0,4,6
1928,Qtr 3,July,24,Netherlands,Fokker (KLM),Fokker (KLM) F.IIIH NABR,Waalhaven Netherlands,Airlines Dutch Royal KLM,0,1,6
1928,Qtr 3,August,25,BC,Ford,Ford 4 AT,Near Port Townsend BC,Canada British Columbia Airways,0,7,7
1928,Qtr 3,September,2,France,Bleriot Spad,Bleriot Spad 33F AIEP,Toul France,CIDNA,0,5,5
1928,Qtr 3,September,4,Australia,De Havilland,de Havilland DH.50JG AUHI,Adelaide Hills Australia,Qantas,0,1,2
1928,Qtr 3,September,4,Idaho,Fokker Super,Fokker Super UniversalNC7242,Pocatello Idaho,Airways Parks National,0,7,7
1928,Qtr 3,September,6,Germany,Fokker FG,Fokker FG IIID 180,Heroldbach Germany,Lufthansa Deutsche,0,3,3
1928,Qtr 4,October,4,Spain,Breguet,"Breguet 14F AEEJ
F",Gerona Spain,Aeropostale,0,3,3
1928,Qtr 4,October,18,Pennsylvania,Douglas,Douglas M 4NC1064,Polk Pennsylvania,Transport Air National,0,1,1
1928,Qtr 4,October,31,France,Bleriot Spad,Bleriot Spad 56F AIMN,Valence France,Union Air,0,1,2
1928,Qtr 4,November,15,N/A,Latecoere,Latecoere 32F AISN,Off GibraltarAeropostale,N/A,0,1,3
1928,Qtr 4,November,24,Ohio,Hamilton,Hamilton H 47NC7521,Edgerton Ohio,Airlines Universal,0,3,3
1928,Qtr 4,November,25,Ohio,Douglas,Douglas M 4NC792,Bristolville Ohio,Transport Air National,0,1,1
1928,Qtr 4,November,25,Ohio,Travel Air,Travel Air 4000NC5436,Edgerton Ohio,Lines Air Continental,0,1,1
1928,Qtr 4,December,1,Texas,Ford,Ford 4 AT,Spur Texas,Co. Transport Air Sunbeam,0,5,5
1928,Qtr 4,December,3,Condor,Dornier,Dornier WalP BACA,Near Rio de Janeiro Condor,N/A,0,14,14
1928,Qtr 4,December,10,Washington,Ford,Ford Tri motor 4NC7687,Spokan Washington,Airways Spokane,0,5,5
1928,Qtr 4,December,11,Germany,Junkers,Junkers G 31D,Letzlingen Germany,Lufthansa Deutsche,0,3,4
1928,Qtr 4,December,20,Ohio,Douglas,Douglas M 4NC790,Huron Ohio,Transport Air National,0,1,1
1928,Qtr 4,December,23,Tennessee,Fairchild,Fairchild FC 2?,Chattanooga Tennessee,Airlines Interstate,0,4,4
1928,Qtr 4,December,31,France,Blériot Spad,Blériot Spad 66F AEHX,Reims France,CIDNA,0,2,3
1929,Qtr 1,January,5,Connecticut,Fairchild,Fairchild FC 2NC5650,Stafford Springs Connecticut,Transport Air Colonial,0,1,1
1929,Qtr 1,January,18,Oregon,Stearman,Stearman C 38NC1682,Cove Oregon,Lines Air Varney,0,1,1
1929,Qtr 1,January,25,Greece,CMASA,CMASA WalI AZDA,Near Corfu Greece,Aeroespresso,0,2,9
1929,Qtr 1,January,31,N/A,Latecoere,"Latecoere 26F AIMU
F",Off MoroccoAeropostale,N/A,0,2,2
1929,Qtr 1,January,31,West,Travel Air,Travel Air 4000NC6480,Morgantown West,Company Transportation VirginiaSkyline,0,1,1
1929,Qtr 1,March,17,New,Ford,Ford 5 AT,Newark New,Airlines Western JerseyColonial,0,14,15
1929,Qtr 1,March,30,California,Fokker,Fokker F VIIANC7888,Near Beaumont California,Airlines Standard New,0,4,4
1929,Qtr 2,April,21,California,Ford,Ford 5 AT,San Diego California,Force Air U.S.Army - Military / Airlines Maddux,0,6,6
1929,Qtr 2,May,9,Mexico,Ford,Ford Tri motor 4M,Tampico Mexico,Mexicana,0,5,5
1929,Qtr 2,May,18,"",Fokker,Fokker F IIIH,Tököl,HungaryMALERT Pest,0,2,2
1929,Qtr 2,May,22,N/A,Cams,Cams 53F AISX,AlgiersAeropostale,N/A,0,4,6
1929,Qtr 2,June,13,Cuba,Fokker,Fokker F XNC9700,Santiago de Cuba Cuba,Airways American Pan,0,2,5
1929,Qtr 2,June,14,Spain,Breguet,Breguet 14F AFEJ,Barcelona Spain,Aeropostale,0,1,2
1929,Qtr 2,June,17,England,Handley Page,Handley Page W 10G,Off Dungeness England,Airways Imperial,0,7,13
1929,Qtr 2,June,24,Minnesota,Ford,Ford 5 AT,St. Paul Minnesota,Airlines Orient Northwest,0,1,8
1929,Qtr 2,June,29,Bavaria,Domier Delphin III (flying,Domier Delphin III (flying boat)D 1620,Near Lindau Bavaria,Germany Bodensee Aerolloyd,0,5,5
1929,Qtr 2,June,29,Ohio,Travel Air,Travel Air 4000NC5435,Columbus Ohio,Lines Air Continental,0,1,1
1929,Qtr 3,August,11,New,Lockheed 5,Lockheed 5 VegaNC870E,Clovis New,Airlines States MexicoMiddle,0,4,4
1929,Qtr 3,August,24,Germany,Fokker FG,Fokker FG IID 757,Elm Germany,Lufthansa Deutsche,0,4,5
1929,Qtr 3,August,24,Russia,Kalinin,Kalinin K 4CCCP,Sochi Russia,Ukvozduchput,0,1,1
1929,Qtr 3,September,2,California,Lockheed,Lockheed VegaNR859E,Needles California,Aviators Associated,0,1,2
1929,Qtr 3,September,3,near,Ford,Ford 5 AT,Mt. Taylor near,New Mexico          Grants Trans Continental Air Transport,0,8,8
1929,Qtr 3,September,6,Iran,De Havilland,de Havilland DH 66 HerculesG,Jask Iran,Airways Imperial,0,3,5
1929,Qtr 3,September,14,N/A,Latecoere,Latecoere 25F AIUJ,North Atlantic OceanAeropostale,N/A,0,6,6
1929,Qtr 3,September,14,Ontario,Travel Air,Travel Air 6000CF ABE,Saint Catharines Ontario,Skyways,0,6,6
1929,Qtr 3,September,17,California,Fairchild,Fairchild 71?,Jacumba California,Airways Pickwick,0,1,2
1929,Qtr 3,September,17,Connecticut,Pitcairn,Pitcairn PA 6 Mailwing?,Mt Lamentation Connecticut,Transport Air Colonial,0,1,1
1929,Qtr 3,September,17,Morocco,Latecoere,Latecoere 25 3,Off Larache Morocco,Aeropostale,0,5,5
1929,Qtr 4,October,26,Italy,Short Calcutta (flying,Short Calcutta (flying boat)G AADN,Off Spezia Italy,Airways Imperial,0,7,7
1929,Qtr 4,October,29,Ohio,Stearman,Stearman C 38?,Mount Vernon Ohio,Lines Air Continental,0,1,1
1929,Qtr 4,October,31,Washington,Loening,Loening C 2CNC9158,Off Bremerton Washington,Lines Air Gorst / Taxi Air Bremerton-Seattle,0,2,2
1929,Qtr 4,November,4,Mexico,Lockheed Vega,Lockheed Vega 5NC46M,Cerro del Carbon Mexico,Transportes de Aeronautica Corp.,0,4,4
1929,Qtr 4,November,6,Surrey,Junkers,Junkers G 24D,Near Godstone Surrey,England Deutsche Lufthansa,0,7,8
1929,Qtr 4,November,16,France,Liore et Olivier,Liore et Olivier 190F AIGB,Off Corsica France,Union Air,0,3,3
1929,Qtr 4,November,20,East,Savoia Marchetti,Savoia Marchetti S55I TACO,Terranova Pausania East,Mediterranea Aerea Società SardiniaS.A.M.,0,1,12
1929,Qtr 4,November,30,Washington,Stearman,Stearman M 2 SpeedmailNC8199,Vancouver Washington,Lines Air Varney,0,1,1
1929,Qtr 4,December,2,Ohio,Douglas,Douglas M 3NC789,Chagrin Falls Ohio,Transport Air National,0,1,1
1929,Qtr 4,December,19,Germany,Arado,Arado V1D 1594,Near Berlin Germany,Lufthansa Deutsche,0,2,3
1929,Qtr 4,December,30,Texas,Travel Air,Travel Air B6000?,Amarillo Texas,Transport Air Continental Trans,0,5,5
1930,Qtr 1,January,2,California?,??,??,Off Venice California?,N/A,0,10,10
1930,Qtr 1,January,10,Nebraska,Boeing,Boeing 95NC184E,Brawnson Nebraska,Transport Air Boeing,0,1,1
1930,Qtr 1,January,13,Madagascar,Farman,Farman 190F AJJK,Antananarivo Madagascar,Orient Air,0,3,3
1930,Qtr 1,January,19,California,Ford,Ford 5 AT,Oceanside California,Airlines Maddux,0,16,16
1930,Qtr 1,January,25,Spain,Latecoere,Latecoere 25F AJCL,Off Ceuta Spain,Aeropostale,0,2,2
1930,Qtr 1,January,27,Missouri,Travel Air,Travel Air A6000A?,Kansas City Missouri,Corporation) Aviation (Universal Airlines  Central,0,5,5
1930,Qtr 1,February,3,Connecticut,Pitcairn,Pitcairn PA 6 MailwingNC801H,Hartford Connecticut,Transport Air Colonial,0,1,1
